code_ins,lieu_de_residence,hommes,femmes,total,annee
01000,Belgique,5761410,5936147,11697557,2023
02000,Région flamande,3352319,3422488,6774807,2023
03000,Région wallonne,1800829,1880746,3681575,2023
04000,Région de Bruxelles-Capitale,608262,632913,1241175,2023
10000,Province d'Anvers,947807,963145,1910952,2023
11000,Arrondissement d'Anvers,534101,543983,1078084,2023
11001,Aartselaar,7327,7425,14752,2023
11002,Anvers,269754,269156,538910,2023
11004,Boechout,6722,7084,13806,2023
11005,Boom,9476,9586,19062,2023
11007,Borsbeek,5493,5816,11309,2023
11008,Brasschaat,18444,20131,38575,2023
11009,Brecht,15134,15253,30387,2023
11013,Edegem,11015,11746,22761,2023
11016,Essen,9808,9821,19629,2023
11018,Hemiksem,5999,6106,12105,2023
11021,Hove (Anvers),4049,4395,8444,2023
11022,Kalmthout,9481,9941,19422,2023
11023,Kapellen (Anvers),13579,14164,27743,2023
11024,Kontich,10582,11042,21624,2023
11025,Lint,4226,4322,8548,2023
11029,Mortsel,12786,13605,26391,2023
11030,Niel,5363,5436,10799,2023
11035,Ranst,9800,9809,19609,2023
11037,Rumst,7646,7771,15417,2023
11038,Schelle,4198,4464,8662,2023
11039,Schilde,9858,10435,20293,2023
11040,Schoten,16571,17789,34360,2023
11044,Stabroek,9369,9468,18837,2023
11050,Wijnegem,5023,5409,10432,2023
11052,Wommelgem,6497,6733,13230,2023
11053,Wuustwezel,10816,10828,21644,2023
11054,Zandhoven,6627,6725,13352,2023
11055,Zoersel,10955,11472,22427,2023
11056,Zwijndrecht,9590,9957,19547,2023
11057,Malle,7913,8094,16007,2023
12000,Arrondissement de Malines,175156,181144,356300,2023
12002,Berlaar,5916,6033,11949,2023
12005,Bonheiden,7554,7904,15458,2023
12007,Bornem,10838,11144,21982,2023
12009,Duffel,8857,9125,17982,2023
12014,Heist-op-den-Berg,21821,22405,44226,2023
12021,Lierre,18433,19476,37909,2023
12025,Malines,43430,45184,88614,2023
12026,Nijlen,11539,11870,23409,2023
12029,Putte,9203,9428,18631,2023
12035,Sint-Katelijne-Waver,10621,10974,21595,2023
12040,Willebroek,13710,14063,27773,2023
12041,Puurs-Sint-Amands,13234,13538,26772,2023
13000,Arrondissement de Turnhout,238550,238018,476568,2023
13001,Arendonk,6692,6652,13344,2023
13002,Baerle-Duc,1522,1490,3012,2023
13003,Balen,11657,11651,23308,2023
13004,Beerse,9140,9276,18416,2023
13006,Dessel,4896,4909,9805,2023
13008,Geel,21015,20813,41828,2023
13010,Grobbendonk,5744,5775,11519,2023
13011,Herentals,14129,14446,28575,2023
13012,Herenthout,4660,4757,9417,2023
13013,Herselt,7436,7369,14805,2023
13014,Hoogstraten,11290,10955,22245,2023
13016,Hulshout,5304,5260,10564,2023
13017,Kasterlee,9755,9723,19478,2023
13019,Lille,8501,8370,16871,2023
13021,Meerhout,5235,5113,10348,2023
13023,Merksplas,4432,4367,8799,2023
13025,Mol,18997,19162,38159,2023
13029,Olen,6394,6295,12689,2023
13031,Oud-Turnhout,7300,7434,14734,2023
13035,Ravels,7724,7614,15338,2023
13036,Retie,5958,5883,11841,2023
13037,Rijkevorsel,6317,6214,12531,2023
13040,Turnhout,23418,23505,46923,2023
13044,Vorselaar,4023,4021,8044,2023
13046,Vosselaar,5880,5922,11802,2023
13049,Westerlo,12779,12687,25466,2023
13053,Laakdal,8352,8355,16707,2023
20001,Province du Brabant flamand,582527,604956,1187483,2023
20002,Province du Brabant wallon,200139,212795,412934,2023
21000,Arrondissement de Bruxelles-Capitale,608262,632913,1241175,2023
21001,Anderlecht,62331,62734,125065,2023
21002,Auderghem,16866,18480,35346,2023
21003,Berchem-Sainte-Agathe,12272,13124,25396,2023
21004,Bruxelles,99180,95111,194291,2023
21005,Etterbeek,23749,25809,49558,2023
21006,Evere,21336,22919,44255,2023
21007,Forest (Bruxelles-Capitale),28003,29721,57724,2023
21008,Ganshoren,12304,13244,25548,2023
21009,Ixelles,42910,45611,88521,2023
21010,Jette,25929,27775,53704,2023
21011,Koekelberg,11259,11304,22563,2023
21012,Molenbeek-Saint-Jean,48960,49310,98270,2023
21013,Saint-Gilles,24757,24566,49323,2023
21014,Saint-Josse-ten-Noode,14116,12952,27068,2023
21015,Schaerbeek,64897,65878,130775,2023
21016,Uccle,39984,46117,86101,2023
21017,Watermael-Boitsfort,11659,13733,25392,2023
21018,Woluwe-Saint-Lambert,27855,31923,59778,2023
21019,Woluwe-Saint-Pierre,19895,22602,42497,2023
23000,Arrondissement de Hal-Vilvorde,324345,339856,664201,2023
23002,Asse,17256,17935,35191,2023
23003,Beersel,13008,13466,26474,2023
23009,Biévène,1116,1149,2265,2023
23016,Dilbeek,21587,23063,44650,2023
23023,Gammerages,4420,4492,8912,2023
23024,Gooik,4663,4765,9428,2023
23025,Grimbergen,19091,20277,39368,2023
23027,Hal (Hal-Vilvorde),20508,21539,42047,2023
23032,Herne,3347,3416,6763,2023
23033,Hoeilaart,5628,5909,11537,2023
23038,Kampenhout,6103,6342,12445,2023
23039,Kapelle-op-den-Bos,4702,4957,9659,2023
23044,Liedekerke,6781,7096,13877,2023
23045,Londerzeel,9509,9779,19288,2023
23047,Machelen (Hal-Vilvorde),8060,8426,16486,2023
23050,Meise,9848,10391,20239,2023
23052,Merchtem,8686,9054,17740,2023
23060,Opwijk,7342,7548,14890,2023
23062,Overijse,12713,13265,25978,2023
23064,Pepingen,2287,2280,4567,2023
23077,Sint-Pieters-Leeuw,17640,18412,36052,2023
23081,Steenokkerzeel,6194,6420,12614,2023
23086,Ternat,8110,8378,16488,2023
23088,Vilvorde,22914,24079,46993,2023
23094,Zaventem,17796,18612,36408,2023
23096,Zemst,11415,11942,23357,2023
23097,Roosdaal,5849,6017,11866,2023
23098,Drogenbos,2780,3071,5851,2023
23099,Kraainem,6833,7218,14051,2023
23100,Linkebeek,2195,2445,4640,2023
23101,Rhode-Saint-Genèse,9056,9683,18739,2023
23102,Wemmel,8629,9114,17743,2023
23103,Wezembeek-Oppem,7002,7606,14608,2023
23104,Lennik,4598,4833,9431,2023
23105,Affligem,6679,6877,13556,2023
24000,Arrondissement de Louvain,258182,265100,523282,2023
24001,Aarschot,15121,15733,30854,2023
24007,Begijnendijk,5135,5352,10487,2023
24008,Bekkevoort,3347,3325,6672,2023
24009,Bertem,5049,5227,10276,2023
24011,Bierbeek,5254,5215,10469,2023
24014,Boortmeerbeek,6582,6681,13263,2023
