code_ins,lieu_de_residence,hommes,femmes,total,annee
01000,Belgique,5660064,5832577,11492641,2020
02000,Région flamande,3280498,3348645,6629143,2020
03000,Région wallonne,1781860,1863383,3645243,2020
04000,Région de Bruxelles-Capitale,597706,620549,1218255,2020
10000,Province d'Anvers,927773,941957,1869730,2020
11000,Arrondissement d'Anvers,524320,533416,1057736,2020
11001,Aartselaar,7153,7274,14427,2020
11002,Anvers,264763,264484,529247,2020
11004,Boechout,6526,6846,13372,2020
11005,Boom,9242,9313,18555,2020
11007,Borsbeek,5305,5644,10949,2020
11008,Brasschaat,18352,19871,38223,2020
11009,Brecht,14652,14802,29454,2020
11013,Edegem,10722,11539,22261,2020
11016,Essen,9580,9582,19162,2020
11018,Hemiksem,5793,5841,11634,2020
11021,Hove (Anvers),3974,4303,8277,2020
11022,Kalmthout,9224,9648,18872,2020
11023,Kapellen (Anvers),13167,13814,26981,2020
11024,Kontich,10435,10768,21203,2020
11025,Lint,4295,4346,8641,2020
11029,Mortsel,12704,13453,26157,2020
11030,Niel,5237,5309,10546,2020
11035,Ranst,9601,9586,19187,2020
11037,Rumst,7475,7575,15050,2020
11038,Schelle,4146,4383,8529,2020
11039,Schilde,9720,10153,19873,2020
11040,Schoten,16582,17734,34316,2020
11044,Stabroek,9337,9452,18789,2020
11050,Wijnegem,4841,5142,9983,2020
11052,Wommelgem,6404,6539,12943,2020
11053,Wuustwezel,10668,10545,21213,2020
11054,Zandhoven,6502,6569,13071,2020
11055,Zoersel,10794,11271,22065,2020
11056,Zwijndrecht,9409,9745,19154,2020
11057,Malle,7717,7885,15602,2020
12000,Arrondissement de Malines,170620,176505,347125,2020
12002,Berlaar,5777,5879,11656,2020
12005,Bonheiden,7319,7759,15078,2020
12007,Bornem,10537,10816,21353,2020
12009,Duffel,8671,8993,17664,2020
12014,Heist-op-den-Berg,21192,21758,42950,2020
12021,Lierre,17865,18781,36646,2020
12025,Malines,42555,44366,86921,2020
12026,Nijlen,11329,11607,22936,2020
12029,Putte,8849,9078,17927,2020
12035,Sint-Katelijne-Waver,10322,10704,21026,2020
12040,Willebroek,13226,13600,26826,2020
12041,Puurs-Sint-Amands,12978,13164,26142,2020
13000,Arrondissement de Turnhout,232833,232036,464869,2020
13001,Arendonk,6654,6636,13290,2020
13002,Baerle-Duc,1439,1426,2865,2020
13003,Balen,11364,11449,22813,2020
13004,Beerse,9030,9098,18128,2020
13006,Dessel,4811,4794,9605,2020
13008,Geel,20442,20267,40709,2020
13010,Grobbendonk,5597,5575,11172,2020
13011,Herentals,13934,14338,28272,2020
13012,Herenthout,4500,4609,9109,2020
13013,Herselt,7319,7202,14521,2020
13014,Hoogstraten,10891,10533,21424,2020
13016,Hulshout,5255,5216,10471,2020
13017,Kasterlee,9509,9373,18882,2020
13019,Lille,8360,8204,16564,2020
13021,Meerhout,5221,5103,10324,2020
13023,Merksplas,4357,4231,8588,2020
13025,Mol,18416,18606,37022,2020
13029,Olen,6327,6233,12560,2020
13031,Oud-Turnhout,6997,6980,13977,2020
13035,Ravels,7587,7436,15023,2020
13036,Retie,5805,5703,11508,2020
13037,Rijkevorsel,6147,6031,12178,2020
13040,Turnhout,22531,22749,45280,2020
13044,Vorselaar,3981,3955,7936,2020
13046,Vosselaar,5682,5661,11343,2020
13049,Westerlo,12570,12549,25119,2020
13053,Laakdal,8107,8079,16186,2020
20001,Province du Brabant flamand,567096,588747,1155843,2020
20002,Province du Brabant wallon,197034,208985,406019,2020
21000,Arrondissement de Bruxelles-Capitale,597706,620549,1218255,2020
21001,Anderlecht,60341,60546,120887,2020
21002,Auderghem,16454,17950,34404,2020
21003,Berchem-Sainte-Agathe,12374,13128,25502,2020
21004,Bruxelles,94549,90554,185103,2020
21005,Etterbeek,23355,25118,48473,2020
21006,Evere,20396,22260,42656,2020
21007,Forest (Bruxelles-Capitale),27403,29178,56581,2020
21008,Ganshoren,12063,13171,25234,2020
21009,Ixelles,42919,44713,87632,2020
21010,Jette,25324,27404,52728,2020
21011,Koekelberg,10990,10969,21959,2020
21012,Molenbeek-Saint-Jean,48883,49096,97979,2020
21013,Saint-Gilles,24955,24723,49678,2020
21014,Saint-Josse-ten-Noode,14395,13102,27497,2020
21015,Schaerbeek,65969,66830,132799,2020
21016,Uccle,39056,44924,83980,2020
21017,Watermael-Boitsfort,11737,13595,25332,2020
21018,Woluwe-Saint-Lambert,26861,30851,57712,2020
21019,Woluwe-Saint-Pierre,19682,22437,42119,2020
23000,Arrondissement de Hal-Vilvorde,313872,329894,643766,2020
23002,Asse,16383,17122,33505,2020
23003,Beersel,12497,12846,25343,2020
23009,Biévène,1098,1080,2178,2020
23016,Dilbeek,20979,22444,43423,2020
23023,Gammerages,4375,4461,8836,2020
23024,Gooik,4531,4658,9189,2020
23025,Grimbergen,18326,19646,37972,2020
23027,Hal (Hal-Vilvorde),19466,20716,40182,2020
23032,Herne,3276,3423,6699,2020
23033,Hoeilaart,5587,5821,11408,2020
23038,Kampenhout,5960,6169,12129,2020
23039,Kapelle-op-den-Bos,4612,4889,9501,2020
23044,Liedekerke,6539,6858,13397,2020
23045,Londerzeel,9274,9587,18861,2020
23047,Machelen (Hal-Vilvorde),7618,7987,15605,2020
23050,Meise,9557,10070,19627,2020
23052,Merchtem,8238,8528,16766,2020
23060,Opwijk,7218,7528,14746,2020
23062,Overijse,12492,13005,25497,2020
23064,Pepingen,2270,2267,4537,2020
23077,Sint-Pieters-Leeuw,16923,17698,34621,2020
23081,Steenokkerzeel,6007,6272,12279,2020
23086,Ternat,7888,8124,16012,2020
23088,Vilvorde,22086,23409,45495,2020
23094,Zaventem,17002,17780,34782,2020
23096,Zemst,11404,11856,23260,2020
23097,Roosdaal,5756,5909,11665,2020
23098,Drogenbos,2646,3007,5653,2020
23099,Kraainem,6696,7157,13853,2020
23100,Linkebeek,2213,2483,4696,2020
23101,Rhode-Saint-Genèse,8940,9579,18519,2020
23102,Wemmel,8178,8636,16814,2020
23103,Wezembeek-Oppem,6831,7438,14269,2020
23104,Lennik,4466,4630,9096,2020
23105,Affligem,6540,6811,13351,2020
24000,Arrondissement de Louvain,253224,258853,512077,2020
24001,Aarschot,14768,15415,30183,2020
24007,Begijnendijk,5024,5232,10256,2020
24008,Bekkevoort,3227,3105,6332,2020
24009,Bertem,4993,5148,10141,2020
24011,Bierbeek,5064,5098,10162,2020
24014,Boortmeerbeek,6249,6380,12629,2020
24016,Boutersem,4080,4162,8242,2020
24020,Diest,11935,12299,24234,2020
24028,Geetbets,3074,3062,6136,2020
24033,Haacht,7299,7555,14854,2020
24038,Herent,10675,11245,21920,2020
24041,Hoegaarden,3452,3411,6863,2020
24043,Holsbeek,5002,5060,10062,2020
24045,Huldenberg,4913,5030,9943,2020
24048,Keerbergen,6331,6623,12954,2020
24054,Kortenaken,3943,3949,7892,2020
24055,Kortenberg,9977,10312,20289,2020
24059,Landen,7875,8221,16096,2020
24062,Louvain,51326,50949,102275,2020
24066,Lubbeek,7244,7312,14556,2020
24086,Oud-Heverlee,5517,5571,11088,2020
24094,Rotselaar,8449,8575,17024,2020
24104,Tervuren,11050,11658,22708,2020
24107,Tirlemont,17076,18217,35293,2020
24109,Tremelo,7418,7499,14917,2020
24130,Léau,4218,4357,8575,2020
24133,Linter,3615,3656,7271,2020
24134,Montaigu-Zichem,11416,11662,23078,2020
24135,Tielt-Winge,5389,5394,10783,2020
24137,Glabbeek,2625,2696,5321,2020
25000,Arrondissement de Nivelles,197034,208985,406019,2020
25005,Beauvechain,3556,3649,7205,2020
25014,Braine-l'Alleud,19334,20836,40170,2020
25015,Braine-le-Château,5117,5431,10548,2020
25018,Chaumont-Gistoux,5694,5937,11631,2020
25023,Court-Saint-Etienne,5189,5400,10589,2020
25031,Genappe,7662,7898,15560,2020
25037,Grez-Doiceau,6793,7080,13873,2020
25043,Incourt,2708,2814,5522,2020
25044,Ittre,3395,3562,6957,2020
25048,Jodoigne,7028,7329,14357,2020
25050,La Hulpe,3565,3877,7442,2020
25068,Mont-Saint-Guibert,3905,3991,7896,2020
25072,Nivelles,13671,15212,28883,2020
25084,Perwez (Nivelles),4601,4860,9461,2020
25091,Rixensart,10789,11864,22653,2020
25105,Tubize,13006,13650,26656,2020
25107,Villers-la-Ville,5348,5420,10768,2020
25110,Waterloo,14441,15935,30376,2020
25112,Wavre,16658,18090,34748,2020
25117,Chastre,3805,3880,7685,2020
25118,Hélécine,1811,1833,3644,2020
25119,Lasne,6967,7290,14257,2020
25120,Orp-Jauche,4412,4569,8981,2020
25121,Ottignies-Louvain-la-Neuve,15232,16084,31316,2020
25122,Ramillies,3266,3282,6548,2020
25123,Rebecq,5418,5516,10934,2020
25124,Walhain,3663,3696,7359,2020
30000,Province de Flandre occidentale,595359,605586,1200945,2020
31000,Arrondissement de Bruges,139169,143576,282745,2020
31003,Beernem,8040,7777,15817,2020
31004,Blankenberge,10106,10357,20463,2020
31005,Bruges,57851,60805,118656,2020
31006,Damme,5493,5526,11019,2020
31012,Jabbeke,6894,6974,13868,2020
31022,Oostkamp,11822,11983,23805,2020
31033,Torhout,10248,10219,20467,2020
31040,Zedelgem,11418,11434,22852,2020
31042,Zuienkerke,1366,1343,2709,2020
31043,Knokke-Heist,15931,17158,33089,2020
32000,Arrondissement de Dixmude,25843,25853,51696,2020
32003,Dixmude,8416,8427,16843,2020
32006,Houthulst,5067,5043,10110,2020
32010,Koekelare,4363,4397,8760,2020
32011,Kortemark,6343,6350,12693,2020
32030,Lo-Reninge,1654,1636,3290,2020
33000,Arrondissement d'Ypres,53235,53335,106570,2020
33011,Ypres,17218,17777,34995,2020
33016,Messines,520,527,1047,2020
33021,Poperinge,9786,9931,19717,2020
33029,Wervik,9495,9414,18909,2020
33037,Zonnebeke,6287,6211,12498,2020
33039,Heuvelland,4075,3851,7926,2020
33040,Langemark-Poelkapelle,3991,3834,7825,2020
33041,Vleteren,1863,1790,3653,2020
34000,Arrondissement de Courtrai,144761,147732,292493,2020
34002,Anzegem,7426,7355,14781,2020
34003,Avelgem,5035,5171,10206,2020
34009,Deerlijk,5955,6123,12078,2020
34013,Harelbeke,14281,14221,28502,2020
34022,Courtrai,38035,39074,77109,2020
34023,Kuurne,6744,6932,13676,2020
34025,Lendelede,2867,2920,5787,2020
34027,Menin,16604,16936,33540,2020
34040,Waregem,18897,19453,38350,2020
34041,Wevelgem,15593,15986,31579,2020
34042,Zwevegem,12320,12494,24814,2020
34043,Espierres-Helchin,1004,1067,2071,2020
35000,Arrondissement d'Ostende,77908,79872,157780,2020
35002,Bredene,9035,9106,18141,2020
35005,Gistel,6046,6120,12166,2020
35006,Ichtegem,7037,7004,14041,2020
35011,Middelkerke,9727,9851,19578,2020
35013,Ostende,35120,36527,71647,2020
35014,Oudenburg,4744,4763,9507,2020
35029,De Haan,6199,6501,12700,2020
36000,Arrondissement de Roulers,76946,77548,154494,2020
36006,Hooglede,5046,4927,9973,2020
36007,Ingelmunster,5503,5628,11131,2020
36008,Izegem,13918,14404,28322,2020
36010,Ledegem,4822,4865,9687,2020
36011,Lichtervelde,4516,4427,8943,2020
36012,Moorslede,5681,5761,11442,2020
36015,Roulers,31668,31810,63478,2020
36019,Staden,5792,5726,11518,2020
37000,Arrondissement de Tielt,46964,46464,93428,2020
37002,Dentergem,4333,4279,8612,2020
37007,Meulebeke,5450,5383,10833,2020
37010,Oostrozebeke,3955,4001,7956,2020
37011,Pittem,3397,3320,6717,2020
37012,Ruiselede,2692,2676,5368,2020
37015,Tielt (Tielt),10308,10295,20603,2020
37017,Wielsbeke,4969,4864,9833,2020
37018,Wingene,7329,7100,14429,2020
37020,Ardooie,4531,4546,9077,2020
