code_ins,lieu_de_residence,hommes,femmes,total,annee
01000,Belgique,5597906,5778164,11376070,2018
02000,Région flamande,3241106,3311861,6552967,2018
03000,Région wallonne,1770175,1854202,3624377,2018
04000,Région de Bruxelles-Capitale,586625,612101,1198726,2018
10000,Province d'Anvers,916113,931373,1847486,2018
11000,Arrondissement d'Anvers,517644,527949,1045593,2018
11001,Aartselaar,7136,7168,14304,2018
11002,Anvers,261165,262083,523248,2018
11004,Boechout,6431,6689,13120,2018
11005,Boom,8869,9101,17970,2018
11007,Borsbeek,5159,5526,10685,2018
11008,Brasschaat,18212,19638,37850,2018
11009,Brecht,14424,14586,29010,2018
11013,Edegem,10545,11402,21947,2018
11016,Essen,9536,9543,19079,2018
11018,Hemiksem,5637,5731,11368,2018
11021,Hove (Anvers),3917,4198,8115,2018
11022,Kalmthout,9122,9486,18608,2018
11023,Kapellen (Anvers),13095,13676,26771,2018
11024,Kontich,10357,10717,21074,2018
11025,Lint,4357,4430,8787,2018
11029,Mortsel,12495,13329,25824,2018
11030,Niel,5170,5254,10424,2018
11035,Ranst,9490,9491,18981,2018
11037,Rumst,7517,7597,15114,2018
11038,Schelle,4098,4335,8433,2018
11039,Schilde,9543,10042,19585,2018
11040,Schoten,16700,17762,34462,2018
11044,Stabroek,9194,9335,18529,2018
11050,Wijnegem,4709,5002,9711,2018
11052,Wommelgem,6374,6519,12893,2018
11053,Wuustwezel,10381,10290,20671,2018
11054,Zandhoven,6471,6514,12985,2018
11055,Zoersel,10644,11095,21739,2018
11056,Zwijndrecht,9325,9677,19002,2018
11057,Malle,7571,7733,15304,2018
12000,Arrondissement de Malines,168572,174373,342945,2018
12002,Berlaar,5695,5812,11507,2018
12005,Bonheiden,7241,7710,14951,2018
12007,Bornem,10489,10697,21186,2018
12009,Duffel,8494,8891,17385,2018
12014,Heist-op-den-Berg,20958,21520,42478,2018
12021,Lierre,17422,18290,35712,2018
12025,Malines,42257,44047,86304,2018
12026,Nijlen,11275,11538,22813,2018
12029,Putte,8676,8908,17584,2018
12030,Puurs,8649,8803,17452,2018
12034,Sint-Amands,4223,4257,8480,2018
12035,Sint-Katelijne-Waver,10278,10592,20870,2018
12040,Willebroek,12915,13308,26223,2018
13000,Arrondissement de Turnhout,229897,229051,458948,2018
13001,Arendonk,6659,6622,13281,2018
13002,Baerle-Duc,1330,1375,2705,2018
13003,Balen,11180,11246,22426,2018
13004,Beerse,8906,9025,17931,2018
13006,Dessel,4780,4760,9540,2018
13008,Geel,20007,19916,39923,2018
13010,Grobbendonk,5572,5551,11123,2018
13011,Herentals,13821,14296,28117,2018
13012,Herenthout,4457,4494,8951,2018
13013,Herselt,7324,7213,14537,2018
13014,Hoogstraten,10884,10449,21333,2018
13016,Hulshout,5187,5195,10382,2018
13017,Kasterlee,9407,9193,18600,2018
13019,Lille,8360,8152,16512,2018
13021,Meerhout,5217,5109,10326,2018
13023,Merksplas,4434,4185,8619,2018
13025,Mol,18183,18361,36544,2018
13029,Olen,6252,6239,12491,2018
13031,Oud-Turnhout,6767,6750,13517,2018
13035,Ravels,7463,7408,14871,2018
13036,Retie,5663,5577,11240,2018
13037,Rijkevorsel,6009,5923,11932,2018
13040,Turnhout,22036,22100,44136,2018
13044,Vorselaar,3938,3910,7848,2018
13046,Vosselaar,5567,5592,11159,2018
13049,Westerlo,12465,12419,24884,2018
13053,Laakdal,8029,7991,16020,2018
20001,Province du Brabant flamand,558272,580217,1138489,2018
20002,Province du Brabant wallon,194472,206634,401106,2018
21000,Arrondissement de Bruxelles-Capitale,586625,612101,1198726,2018
21001,Anderlecht,58849,59533,118382,2018
21002,Auderghem,16115,17625,33740,2018
21003,Berchem-Sainte-Agathe,12010,12820,24830,2018
21004,Bruxelles,91358,87919,179277,2018
21005,Etterbeek,22976,24810,47786,2018
21006,Evere,19502,21629,41131,2018
21007,Forest (Bruxelles-Capitale),27153,28855,56008,2018
21008,Ganshoren,11848,13017,24865,2018
21009,Ixelles,42298,44215,86513,2018
21010,Jette,24881,27320,52201,2018
21011,Koekelberg,10835,10939,21774,2018
21012,Molenbeek-Saint-Jean,48473,48532,97005,2018
21013,Saint-Gilles,25072,24930,50002,2018
21014,Saint-Josse-ten-Noode,14017,13015,27032,2018
21015,Schaerbeek,66168,66842,133010,2018
21016,Uccle,38132,44143,82275,2018
21017,Watermael-Boitsfort,11505,13507,25012,2018
21018,Woluwe-Saint-Lambert,25997,30306,56303,2018
21019,Woluwe-Saint-Pierre,19436,22144,41580,2018
23000,Arrondissement de Hal-Vilvorde,307873,324261,632134,2018
23002,Asse,16079,16879,32958,2018
23003,Beersel,12340,12729,25069,2018
23009,Biévène,1102,1102,2204,2018
23016,Dilbeek,20434,22000,42434,2018
23023,Gammerages,4288,4437,8725,2018
23024,Gooik,4560,4676,9236,2018
23025,Grimbergen,17900,19455,37355,2018
23027,Hal (Hal-Vilvorde),18977,20119,39096,2018
23032,Herne,3281,3362,6643,2018
23033,Hoeilaart,5461,5711,11172,2018
23038,Kampenhout,5856,6042,11898,2018
23039,Kapelle-op-den-Bos,4546,4850,9396,2018
23044,Liedekerke,6444,6744,13188,2018
23045,Londerzeel,9132,9488,18620,2018
23047,Machelen (Hal-Vilvorde),7443,7974,15417,2018
23050,Meise,9362,9802,19164,2018
23052,Merchtem,8011,8283,16294,2018
23060,Opwijk,7066,7312,14378,2018
23062,Overijse,12265,12904,25169,2018
23064,Pepingen,2165,2207,4372,2018
23077,Sint-Pieters-Leeuw,16621,17417,34038,2018
23081,Steenokkerzeel,5923,6167,12090,2018
23086,Ternat,7591,7890,15481,2018
23088,Vilvorde,21390,22625,44015,2018
23094,Zaventem,16511,17295,33806,2018
23096,Zemst,11424,11901,23325,2018
23097,Roosdaal,5758,5871,11629,2018
23098,Drogenbos,2629,2970,5599,2018
23099,Kraainem,6614,7076,13690,2018
23100,Linkebeek,2234,2526,4760,2018
23101,Rhode-Saint-Genèse,8859,9437,18296,2018
23102,Wemmel,7894,8453,16347,2018
23103,Wezembeek-Oppem,6767,7254,14021,2018
23104,Lennik,4441,4583,9024,2018
23105,Affligem,6505,6720,13225,2018
24000,Arrondissement de Louvain,250399,255956,506355,2018
24001,Aarschot,14665,15300,29965,2018
24007,Begijnendijk,4931,5122,10053,2018
24008,Bekkevoort,3153,3121,6274,2018
24009,Bertem,4889,5069,9958,2018
24011,Bierbeek,5009,5016,10025,2018
24014,Boortmeerbeek,6116,6263,12379,2018
24016,Boutersem,4012,4155,8167,2018
24020,Diest,11677,12147,23824,2018
24028,Geetbets,3021,3014,6035,2018
24033,Haacht,7085,7385,14470,2018
24038,Herent,10580,11052,21632,2018
24041,Hoegaarden,3492,3450,6942,2018
24043,Holsbeek,4963,4942,9905,2018
24045,Huldenberg,4872,5020,9892,2018
24048,Keerbergen,6229,6514,12743,2018
24054,Kortenaken,3950,3925,7875,2018
24055,Kortenberg,9937,10277,20214,2018
24059,Landen,7777,8184,15961,2018
24062,Louvain,50976,50420,101396,2018
24066,Lubbeek,7171,7222,14393,2018
24086,Oud-Heverlee,5530,5569,11099,2018
24094,Rotselaar,8246,8432,16678,2018
24104,Tervuren,10826,11422,22248,2018
24107,Tirlemont,16752,17923,34675,2018
24109,Tremelo,7385,7457,14842,2018
24130,Léau,4201,4297,8498,2018
24133,Linter,3606,3649,7255,2018
24134,Montaigu-Zichem,11348,11604,22952,2018
24135,Tielt-Winge,5374,5333,10707,2018
24137,Glabbeek,2626,2672,5298,2018
25000,Arrondissement de Nivelles,194472,206634,401106,2018
25005,Beauvechain,3566,3656,7222,2018
25014,Braine-l'Alleud,19123,20714,39837,2018
25015,Braine-le-Château,5131,5316,10447,2018
25018,Chaumont-Gistoux,5748,5983,11731,2018
25023,Court-Saint-Etienne,5144,5356,10500,2018
25031,Genappe,7576,7777,15353,2018
25037,Grez-Doiceau,6510,6858,13368,2018
25043,Incourt,2639,2749,5388,2018
25044,Ittre,3339,3526,6865,2018
25048,Jodoigne,6860,7219,14079,2018
25050,La Hulpe,3522,3798,7320,2018
25068,Mont-Saint-Guibert,3692,3870,7562,2018
25072,Nivelles,13518,15003,28521,2018
25084,Perwez (Nivelles),4490,4801,9291,2018
25091,Rixensart,10659,11742,22401,2018
25105,Tubize,12652,13262,25914,2018
25107,Villers-la-Ville,5300,5413,10713,2018
25110,Waterloo,14266,15908,30174,2018
25112,Wavre,16488,17817,34305,2018
25117,Chastre,3740,3852,7592,2018
25118,Hélécine,1729,1750,3479,2018
25119,Lasne,6960,7276,14236,2018
25120,Orp-Jauche,4324,4532,8856,2018
25121,Ottignies-Louvain-la-Neuve,15301,16084,31385,2018
25122,Ramillies,3212,3182,6394,2018
25123,Rebecq,5438,5568,11006,2018
25124,Walhain,3545,3622,7167,2018
30000,Province de Flandre occidentale,590005,601054,1191059,2018
31000,Arrondissement de Bruges,138558,143222,281780,2018
31003,Beernem,8011,7676,15687,2018
31004,Blankenberge,9996,10353,20349,2018
31005,Bruges,57571,60713,118284,2018
31006,Damme,5484,5524,11008,2018
31012,Jabbeke,6909,6971,13880,2018
31022,Oostkamp,11760,11820,23580,2018
31033,Torhout,10285,10245,20530,2018
31040,Zedelgem,11256,11379,22635,2018
31042,Zuienkerke,1389,1341,2730,2018
31043,Knokke-Heist,15897,17200,33097,2018
32000,Arrondissement de Dixmude,25688,25740,51428,2018
32003,Dixmude,8335,8404,16739,2018
32006,Houthulst,5005,5027,10032,2018
32010,Koekelare,4405,4379,8784,2018
32011,Kortemark,6291,6293,12584,2018
32030,Lo-Reninge,1652,1637,3289,2018
33000,Arrondissement d'Ypres,53116,53135,106251,2018
33011,Ypres,17197,17767,34964,2018
33016,Messines,526,514,1040,2018
33021,Poperinge,9813,9905,19718,2018
33029,Wervik,9355,9288,18643,2018
33037,Zonnebeke,6298,6147,12445,2018
33039,Heuvelland,4036,3826,7862,2018
33040,Langemark-Poelkapelle,4023,3897,7920,2018
33041,Vleteren,1868,1791,3659,2018
34000,Arrondissement de Courtrai,142891,146223,289114,2018
34002,Anzegem,7315,7294,14609,2018
34003,Avelgem,4961,5104,10065,2018
34009,Deerlijk,5836,5960,11796,2018
34013,Harelbeke,13949,13937,27886,2018
34022,Courtrai,37490,38775,76265,2018
34023,Kuurne,6579,6739,13318,2018
34025,Lendelede,2839,2903,5742,2018
34027,Menin,16386,16804,33190,2018
34040,Waregem,18787,19338,38125,2018
34041,Wevelgem,15508,15904,31412,2018
34042,Zwevegem,12238,12381,24619,2018
34043,Espierres-Helchin,1003,1084,2087,2018
35000,Arrondissement d'Ostende,77282,79186,156468,2018
35002,Bredene,8907,8921,17828,2018
35005,Gistel,5997,6066,12063,2018
35006,Ichtegem,6988,6951,13939,2018
35011,Middelkerke,9627,9744,19371,2018
35013,Ostende,34913,36419,71332,2018
35014,Oudenburg,4665,4635,9300,2018
35029,De Haan,6185,6450,12635,2018
36000,Arrondissement de Roulers,75568,76305,151873,2018
36006,Hooglede,5003,4947,9950,2018
36007,Ingelmunster,5419,5509,10928,2018
36008,Izegem,13633,14096,27729,2018
36010,Ledegem,4844,4872,9716,2018
36011,Lichtervelde,4446,4347,8793,2018
36012,Moorslede,5501,5579,11080,2018
36015,Roulers,30996,31305,62301,2018
36019,Staden,5726,5650,11376,2018
37000,Arrondissement de Tielt,46516,46099,92615,2018
37002,Dentergem,4241,4243,8484,2018
37007,Meulebeke,5483,5423,10906,2018
37010,Oostrozebeke,3888,3961,7849,2018
37011,Pittem,3420,3332,6752,2018
37012,Ruiselede,2710,2677,5387,2018
37015,Tielt (Tielt),10176,10246,20422,2018
37017,Wielsbeke,4859,4725,9584,2018
37018,Wingene,7250,6993,14243,2018
37020,Ardooie,4489,4499,8988,2018
38000,Arrondissement de Furnes,30386,31144,61530,2018
38002,Alveringem,2604,2485,5089,2018
38008,La Panne,5449,5680,11129,2018
38014,Koksijde,10817,11140,21957,2018
38016,Nieuport,5717,5848,11565,2018
38025,Furnes,5799,5991,11790,2018
40000,Province de Flandre orientale,742934,762119,1505053,2018
41000,Arrondissement d'Alost,142134,147041,289175,2018
41002,Alost (Alost),42179,43536,85715,2018
41011,Denderleeuw,9807,10279,20086,2018
41018,Grammont,16498,16905,33403,2018
41024,Haaltert,9052,9391,18443,2018
41027,Herzele,8770,8953,17723,2018
41034,Lede,9201,9427,18628,2018
41048,Ninove,18887,19805,38692,2018
41063,Sint-Lievens-Houtem,5074,5181,10255,2018
41081,Zottegem,12848,13525,26373,2018
41082,Erpe-Mere,9818,10039,19857,2018
42000,Arrondissement de Termonde,98521,101786,200307,2018
42003,Berlare,7299,7550,14849,2018
42004,Buggenhout,7164,7311,14475,2018
42006,Termonde,22250,23423,45673,2018
42008,Hamme (Termonde),12294,12535,24829,2018
42010,Laarne,6161,6326,12487,2018
42011,Lebbeke,9464,9731,19195,2018
42023,Waasmunster,5375,5393,10768,2018
42025,Wetteren,12404,13073,25477,2018
42026,Wichelen,5680,5898,11578,2018
42028,Zele,10430,10546,20976,2018
43000,Arrondissement d'Eeklo,42244,42347,84591,2018
43002,Assenede,7067,7133,14200,2018
43005,Eeklo,10314,10576,20890,2018
43007,Kaprijke,3199,3230,6429,2018
43010,Maldegem,11878,11811,23689,2018
43014,Sint-Laureins,3366,3318,6684,2018
43018,Zelzate,6420,6279,12699,2018
44000,Arrondissement de Gand,275732,281184,556916,2018
44001,Aalter,10231,10317,20548,2018
44011,Deinze,15340,15745,31085,2018
44012,De Pinte,5063,5469,10532,2018
44013,Destelbergen,8792,9234,18026,2018
44019,Evergem,17325,17914,35239,2018
44020,Gavere,6312,6457,12769,2018
44021,Gand,129584,130757,260341,2018
44029,Knesselare,4214,4022,8236,2018
44034,Lochristi,10994,11306,22300,2018
44036,Lovendegem,4649,4925,9574,2018
44040,Melle,5577,5997,11574,2018
44043,Merelbeke,12077,12557,24634,2018
44045,Moerbeke (Gand),3221,3234,6455,2018
44048,Nazareth,5679,5895,11574,2018
44049,Nevele,6093,6086,12179,2018
44052,Oosterzele,6771,6775,13546,2018
44064,Sint-Martens-Latem,4101,4367,8468,2018
44072,Waarschoot,3938,4029,7967,2018
44073,Wachtebeke,3757,3926,7683,2018
44080,Zomergem,4115,4351,8466,2018
44081,Zulte,7899,7821,15720,2018
45000,Arrondissement d'Audenarde,61128,62740,123868,2018
45017,Kruishoutem,4071,4015,8086,2018
45035,Audenarde,15375,15757,31132,2018
45041,Renaix,12939,13398,26337,2018
45057,Zingem,3716,3836,7552,2018
45059,Brakel,7241,7540,14781,2018
45060,Kluisbergen,3200,3253,6453,2018
45061,Wortegem-Petegem,3209,3231,6440,2018
45062,Horebeke,990,1058,2048,2018
45063,Lierde,3288,3279,6567,2018
45064,Maarkedal,3064,3274,6338,2018
45065,Zwalm,4035,4099,8134,2018
46000,Arrondissement de Saint-Nicolas,123175,127021,250196,2018
46003,Beveren (Saint-Nicolas),23847,24345,48192,2018
46013,Kruibeke,8236,8421,16657,2018
46014,Lokeren,20362,21076,41438,2018
46020,Sint-Gillis-Waas,9560,9713,19273,2018
46021,Saint-Nicolas (Saint-Nicolas),37593,39163,76756,2018
46024,Stekene,8981,9371,18352,2018
46025,Tamise,14596,14932,29528,2018
50000,Province de Hainaut,652343,689302,1341645,2018
51000,Arrondissement d'Ath,42378,44404,86782,2018
51004,Ath,14094,15070,29164,2018
51008,Beloeil,6884,7148,14032,2018
51009,Bernissart,5786,6082,11868,2018
51012,Brugelette,1815,1843,3658,2018
51014,Chièvres,3394,3505,6899,2018
51017,Ellezelles,2961,3040,6001,2018
51019,Flobecq,1678,1742,3420,2018
51065,Frasnes-lez-Anvaing,5766,5974,11740,2018
52000,Arrondissement de Charleroi,209317,221384,430701,2018
52010,Chapelle-lez-Herlaimont,7168,7732,14900,2018
52011,Charleroi,98474,103342,201816,2018
52012,Châtelet,17452,18649,36101,2018
52015,Courcelles,15250,16126,31376,2018
52018,Farciennes,5479,5768,11247,2018
52021,Fleurus,10995,11743,22738,2018
52022,Fontaine-l'Evêque,8613,9188,17801,2018
52025,Gerpinnes,6101,6559,12660,2018
52043,Manage,11329,11793,23122,2018
52048,Montigny-le-Tilleul,4785,5351,10136,2018
52055,Pont-à-Celles,8396,8891,17287,2018
52063,Seneffe,5494,5778,11272,2018
52074,Aiseau-Presles,5188,5600,10788,2018
52075,Les Bons Villers,4593,4864,9457,2018
53000,Arrondissement de Mons,124686,133922,258608,2018
53014,Boussu,9416,10440,19856,2018
53020,Dour,8042,8674,16716,2018
53028,Frameries,10401,11477,21878,2018
53039,Hensies,3294,3534,6828,2018
53044,Jurbise,5063,5354,10417,2018
53046,Lens,2196,2312,4508,2018
53053,Mons,46198,49101,95299,2018
53065,Quaregnon,9115,9891,19006,2018
53068,Quiévrain,3265,3494,6759,2018
53070,Saint-Ghislain,11122,12213,23335,2018
53082,Colfontaine,10060,10702,20762,2018
53083,Honnelles,2568,2571,5139,2018
53084,Quévy,3946,4159,8105,2018
54000,Arrondissement de Mouscron,37065,39232,76297,2018
54007,Mouscron,28237,29997,58234,2018
54010,Comines-Warneton,8828,9235,18063,2018
55000,Arrondissement de Soignies,92640,97694,190334,2018
55004,Braine-le-Comte,10628,11021,21649,2018
55010,Enghien,6667,7067,13734,2018
55022,La Louvière,39147,41490,80637,2018
55023,Lessines,9071,9481,18552,2018
55035,Le Roeulx,4186,4431,8617,2018
55039,Silly,4199,4208,8407,2018
55040,Soignies,13346,14257,27603,2018
55050,Ecaussinnes,5396,5739,11135,2018
56000,Arrondissement de Thuin,74050,77862,151912,2018
56001,Anderlues,5941,6313,12254,2018
56005,Beaumont,3582,3555,7137,2018
56011,Binche,16130,17468,33598,2018
56016,Chimay,4835,5006,9841,2018
56022,Erquelinnes,4820,5120,9940,2018
56029,Froidchapelle,2012,1941,3953,2018
56044,Lobbes,2874,2988,5862,2018
56049,Merbes-le-Château,2105,2146,4251,2018
56051,Momignies,2631,2678,5309,2018
56078,Thuin,7196,7475,14671,2018
56085,Estinnes,3816,3899,7715,2018
56086,Ham-sur-Heure-Nalinnes,6544,6985,13529,2018
56087,Morlanwelz,9162,9857,19019,2018
56088,Sivry-Rance,2402,2431,4833,2018
57000,Arrondissement de Tournai,72207,74804,147011,2018
57003,Antoing,3758,4002,7760,2018
57018,Celles (Tournai),2810,2855,5665,2018
57027,Estaimpuis,5093,5331,10424,2018
57062,Pecq,2754,2844,5598,2018
57064,Péruwelz,8394,8719,17113,2018
57072,Rumes,2560,2626,5186,2018
57081,Tournai,34173,35381,69554,2018
57093,Brunehaut,4018,4087,8105,2018
57094,Leuze-en-Hainaut,6758,7128,13886,2018
57095,Mont-de-l'Enclus,1889,1831,3720,2018
60000,Province de Liège,540804,564522,1105326,2018
61000,Arrondissement de Huy,55647,57450,113097,2018
61003,Amay,6969,7336,14305,2018
61010,Burdinne,1634,1602,3236,2018
61012,Clavier,2266,2351,4617,2018
61019,Ferrières,2470,2448,4918,2018
61024,Hamoir,1939,1933,3872,2018
61028,Héron,2598,2679,5277,2018
61031,Huy,10341,10952,21293,2018
61039,Marchin,2721,2739,5460,2018
61041,Modave,2109,2091,4200,2018
61043,Nandrin,2860,2966,5826,2018
61048,Ouffet,1390,1412,2802,2018
61063,Verlaine,2068,2109,4177,2018
61068,Villers-Le-Bouillet,3206,3297,6503,2018
61072,Wanze,6648,6928,13576,2018
61079,Anthisnes,2103,2101,4204,2018
61080,Engis,3022,3100,6122,2018
61081,Tinlot,1303,1406,2709,2018
62000,Arrondissement de Liège,303968,319985,623953,2018
62003,Ans,13380,14858,28238,2018
62006,Awans,4508,4845,9353,2018
62009,Aywaille,6133,6272,12405,2018
62011,Bassenge,4468,4518,8986,2018
62015,Beyne-Heusay,5770,6249,12019,2018
62022,Chaudfontaine,9997,10938,20935,2018
