code_ins,lieu_de_residence,hommes,femmes,total,annee
01000,Belgique,5268651,5484429,10753080,2009
02000,Région flamande,3064169,3144708,6208877,2009
03000,Région wallonne,1688232,1787439,3475671,2009
04000,Région de Bruxelles-Capitale,516250,552282,1068532,2009
10000,Province d'Anvers,856342,874832,1731174,2009
11000,Arrondissement d'Anvers,481571,496041,977612,2009
11001,Aartselaar,7049,7216,14265,2009
11002,Anvers,235953,241983,477936,2009
11004,Boechout,6285,6304,12589,2009
11005,Boom,8138,8460,16598,2009
11007,Borsbeek,4879,5257,10136,2009
11008,Brasschaat,17951,19063,37014,2009
11009,Brecht,13630,13776,27406,2009
11013,Edegem,10220,11002,21222,2009
11016,Essen,8794,8842,17636,2009
11018,Hemiksem,4961,5086,10047,2009
11021,Hove (Anvers),4024,4188,8212,2009
11022,Kalmthout,8640,8947,17587,2009
11023,Kapellen (Anvers),12855,13442,26297,2009
11024,Kontich,10058,10277,20335,2009
11025,Lint,4101,4128,8229,2009
11029,Mortsel,11909,12749,24658,2009
11030,Niel,4508,4722,9230,2009
11035,Ranst,9114,9010,18124,2009
11037,Rumst,7292,7365,14657,2009
11038,Schelle,3962,4110,8072,2009
11039,Schilde,9551,9990,19541,2009
11040,Schoten,16115,17132,33247,2009
11044,Stabroek,8845,8988,17833,2009
11050,Wijnegem,4327,4645,8972,2009
11052,Wommelgem,6005,6290,12295,2009
11053,Wuustwezel,9523,9490,19013,2009
11054,Zandhoven,6229,6122,12351,2009
11055,Zoersel,10416,10792,21208,2009
11056,Zwijndrecht,9091,9389,18480,2009
11057,Malle,7146,7276,14422,2009
12000,Arrondissement de Malines,158192,163596,321788,2009
12002,Berlaar,5342,5475,10817,2009
12005,Bonheiden,7102,7509,14611,2009
12007,Bornem,10113,10362,20475,2009
12009,Duffel,7991,8438,16429,2009
12014,Heist-op-den-Berg,19647,19956,39603,2009
12021,Lierre,16402,17304,33706,2009
12025,Malines,39183,41022,80205,2009
12026,Nijlen,10609,10760,21369,2009
12029,Putte,8070,8068,16138,2009
12030,Puurs,8204,8322,16526,2009
12034,Sint-Amands,3940,4010,7950,2009
12035,Sint-Katelijne-Waver,9879,10115,19994,2009
12040,Willebroek,11710,12255,23965,2009
13000,Arrondissement de Turnhout,216579,215195,431774,2009
13001,Arendonk,6384,6295,12679,2009
13002,Baerle-Duc,1219,1212,2431,2009
13003,Balen,10488,10323,20811,2009
13004,Beerse,8385,8546,16931,2009
13006,Dessel,4560,4489,9049,2009
13008,Geel,18415,18296,36711,2009
13010,Grobbendonk,5455,5435,10890,2009
13011,Herentals,13070,13376,26446,2009
13012,Herenthout,4310,4318,8628,2009
13013,Herselt,7261,7006,14267,2009
13014,Hoogstraten,9988,9590,19578,2009
13016,Hulshout,4819,4960,9779,2009
13017,Kasterlee,9172,8886,18058,2009
13019,Lille,8079,7899,15978,2009
13021,Meerhout,4827,4834,9661,2009
13023,Merksplas,4395,4037,8432,2009
13025,Mol,16819,16944,33763,2009
13029,Olen,5848,5807,11655,2009
13031,Oud-Turnhout,6400,6416,12816,2009
13035,Ravels,7244,7079,14323,2009
13036,Retie,5449,5234,10683,2009
13037,Rijkevorsel,5629,5513,11142,2009
13040,Turnhout,19944,20497,40441,2009
13044,Vorselaar,3741,3725,7466,2009
13046,Vosselaar,5142,5103,10245,2009
13049,Westerlo,11907,11762,23669,2009
13053,Laakdal,7629,7613,15242,2009
20001,Province du Brabant flamand,523574,545264,1068838,2009
20002,Province du Brabant wallon,182177,193468,375645,2009
21000,Arrondissement de Bruxelles-Capitale,516250,552282,1068532,2009
21001,Anderlecht,49543,51828,101371,2009
21002,Auderghem,14326,16130,30456,2009
21003,Berchem-Sainte-Agathe,10334,11335,21669,2009
21004,Bruxelles,76984,76393,153377,2009
21005,Etterbeek,20641,22871,43512,2009
21006,Evere,16526,18846,35372,2009
21007,Forest (Bruxelles-Capitale),23773,25984,49757,2009
21008,Ganshoren,10168,11992,22160,2009
21009,Ixelles,39204,41108,80312,2009
21010,Jette,21294,24343,45637,2009
21011,Koekelberg,9431,9949,19380,2009
21012,Molenbeek-Saint-Jean,42267,43468,85735,2009
21013,Saint-Gilles,22998,22714,45712,2009
21014,Saint-Josse-ten-Noode,12958,12227,25185,2009
21015,Schaerbeek,58253,60022,118275,2009
21016,Uccle,35515,41821,77336,2009
21017,Watermael-Boitsfort,11153,13013,24166,2009
21018,Woluwe-Saint-Lambert,22763,27400,50163,2009
21019,Woluwe-Saint-Pierre,18119,20838,38957,2009
23000,Arrondissement de Hal-Vilvorde,286592,302151,588743,2009
23002,Asse,14472,15378,29850,2009
23003,Beersel,11627,12129,23756,2009
23009,Biévène,1016,1078,2094,2009
23016,Dilbeek,19144,20598,39742,2009
23023,Gammerages,4101,4209,8310,2009
23024,Gooik,4473,4448,8921,2009
23025,Grimbergen,16661,18193,34854,2009
23027,Hal (Hal-Vilvorde),17341,18350,35691,2009
23032,Herne,3262,3335,6597,2009
23033,Hoeilaart,4964,5251,10215,2009
23038,Kampenhout,5489,5685,11174,2009
23039,Kapelle-op-den-Bos,4325,4586,8911,2009
23044,Liedekerke,5987,6227,12214,2009
23045,Londerzeel,8699,8921,17620,2009
23047,Machelen (Hal-Vilvorde),6389,6825,13214,2009
23050,Meise,9023,9355,18378,2009
23052,Merchtem,7498,7642,15140,2009
23060,Opwijk,6353,6651,13004,2009
23062,Overijse,11945,12456,24401,2009
23064,Pepingen,2162,2229,4391,2009
23077,Sint-Pieters-Leeuw,15286,16066,31352,2009
23081,Steenokkerzeel,5605,5748,11353,2009
23086,Ternat,7362,7602,14964,2009
23088,Vilvorde,18917,20180,39097,2009
23094,Zaventem,14543,15364,29907,2009
23096,Zemst,10690,11147,21837,2009
23097,Roosdaal,5464,5672,11136,2009
23098,Drogenbos,2279,2605,4884,2009
23099,Kraainem,6271,6840,13111,2009
23100,Linkebeek,2297,2470,4767,2009
23101,Rhode-Saint-Genèse,8778,9258,18036,2009
23102,Wemmel,7212,7814,15026,2009
23103,Wezembeek-Oppem,6513,7124,13637,2009
23104,Lennik,4319,4493,8812,2009
23105,Affligem,6125,6222,12347,2009
24000,Arrondissement de Louvain,236982,243113,480095,2009
24001,Aarschot,13830,14393,28223,2009
24007,Begijnendijk,4804,4902,9706,2009
24008,Bekkevoort,2984,2959,5943,2009
24009,Bertem,4643,4881,9524,2009
24011,Bierbeek,4702,4665,9367,2009
24014,Boortmeerbeek,5780,5934,11714,2009
24016,Boutersem,3833,3821,7654,2009
24020,Diest,11396,11673,23069,2009
24028,Geetbets,2935,2931,5866,2009
