code_ins,lieu_de_residence,hommes,femmes,total,annee
01000,Belgique,5413801,5622147,11035948,2012
02000,Région flamande,3135552,3215213,6350765,2012
03000,Région wallonne,1725385,1820944,3546329,2012
04000,Région de Bruxelles-Capitale,552864,585990,1138854,2012
10000,Province d'Anvers,882151,899753,1781904,2012
11000,Arrondissement d'Anvers,498194,511807,1010001,2012
11001,Aartselaar,7037,7244,14281,2012
11002,Anvers,249000,253604,502604,2012
11004,Boechout,6307,6417,12724,2012
11005,Boom,8500,8666,17166,2012
11007,Borsbeek,4916,5317,10233,2012
11008,Brasschaat,17990,19311,37301,2012
11009,Brecht,13803,14103,27906,2012
11013,Edegem,10154,10910,21064,2012
11016,Essen,9042,9033,18075,2012
11018,Hemiksem,5232,5373,10605,2012
11021,Hove (Anvers),3950,4249,8199,2012
11022,Kalmthout,8904,9222,18126,2012
11023,Kapellen (Anvers),12967,13579,26546,2012
11024,Kontich,10272,10467,20739,2012
11025,Lint,4298,4322,8620,2012
11029,Mortsel,12171,12972,25143,2012
11030,Niel,4621,4840,9461,2012
11035,Ranst,9291,9172,18463,2012
11037,Rumst,7375,7501,14876,2012
11038,Schelle,3950,4138,8088,2012
11039,Schilde,9512,9960,19472,2012
11040,Schoten,16370,17396,33766,2012
11044,Stabroek,8904,9124,18028,2012
11050,Wijnegem,4364,4677,9041,2012
11052,Wommelgem,6092,6294,12386,2012
11053,Wuustwezel,9797,9750,19547,2012
11054,Zandhoven,6316,6264,12580,2012
11055,Zoersel,10607,10948,21555,2012
11056,Zwijndrecht,9183,9460,18643,2012
11057,Malle,7269,7494,14763,2012
12000,Arrondissement de Malines,161981,167414,329395,2012
12002,Berlaar,5436,5524,10960,2012
12005,Bonheiden,7136,7586,14722,2012
12007,Bornem,10328,10538,20866,2012
12009,Duffel,8257,8684,16941,2012
12014,Heist-op-den-Berg,20014,20498,40512,2012
12021,Lierre,16695,17581,34276,2012
12025,Malines,40299,42026,82325,2012
12026,Nijlen,10931,11134,22065,2012
12029,Putte,8330,8396,16726,2012
12030,Puurs,8251,8453,16704,2012
12034,Sint-Amands,4035,4089,8124,2012
12035,Sint-Katelijne-Waver,10089,10260,20349,2012
12040,Willebroek,12180,12645,24825,2012
13000,Arrondissement de Turnhout,221976,220532,442508,2012
13001,Arendonk,6424,6470,12894,2012
13002,Baerle-Duc,1288,1304,2592,2012
13003,Balen,10813,10757,21570,2012
13004,Beerse,8494,8673,17167,2012
13006,Dessel,4660,4571,9231,2012
13008,Geel,18910,18938,37848,2012
13010,Grobbendonk,5550,5497,11047,2012
13011,Herentals,13517,13851,27368,2012
13012,Herenthout,4356,4391,8747,2012
13013,Herselt,7278,7121,14399,2012
13014,Hoogstraten,10458,9928,20386,2012
13016,Hulshout,4975,5086,10061,2012
13017,Kasterlee,9214,8918,18132,2012
13019,Lille,8274,8076,16350,2012
13021,Meerhout,4956,4957,9913,2012
13023,Merksplas,4491,4085,8576,2012
13025,Mol,17390,17437,34827,2012
13029,Olen,5975,5948,11923,2012
13031,Oud-Turnhout,6450,6455,12905,2012
13035,Ravels,7392,7123,14515,2012
13036,Retie,5489,5310,10799,2012
13037,Rijkevorsel,5790,5644,11434,2012
13040,Turnhout,20573,20999,41572,2012
13044,Vorselaar,3838,3802,7640,2012
13046,Vosselaar,5361,5339,10700,2012
13049,Westerlo,12292,12087,24379,2012
13053,Laakdal,7768,7765,15533,2012
20001,Province du Brabant flamand,536261,558490,1094751,2012
20002,Province du Brabant wallon,187152,198838,385990,2012
21000,Arrondissement de Bruxelles-Capitale,552864,585990,1138854,2012
21001,Anderlecht,54804,56475,111279,2012
21002,Auderghem,15111,16852,31963,2012
21003,Berchem-Sainte-Agathe,10925,12006,22931,2012
21004,Bruxelles,84176,82321,166497,2012
21005,Etterbeek,21511,23991,45502,2012
21006,Evere,17384,19625,37009,2012
21007,Forest (Bruxelles-Capitale),25612,27700,53312,2012
21008,Ganshoren,10802,12581,23383,2012
21009,Ixelles,40696,42729,83425,2012
21010,Jette,22909,25896,48805,2012
21011,Koekelberg,10162,10499,20661,2012
21012,Molenbeek-Saint-Jean,46705,47188,93893,2012
21013,Saint-Gilles,24830,24662,49492,2012
21014,Saint-Josse-ten-Noode,13910,13224,27134,2012
21015,Schaerbeek,63076,64671,127747,2012
21016,Uccle,36811,42799,79610,2012
21017,Watermael-Boitsfort,11241,13062,24303,2012
21018,Woluwe-Saint-Lambert,23563,28308,51871,2012
21019,Woluwe-Saint-Pierre,18636,21401,40037,2012
23000,Arrondissement de Hal-Vilvorde,294021,310076,604097,2012
23002,Asse,14948,15927,30875,2012
23003,Beersel,11919,12325,24244,2012
23009,Biévène,1078,1093,2171,2012
23016,Dilbeek,19488,20900,40388,2012
23023,Gammerages,4236,4299,8535,2012
23024,Gooik,4573,4608,9181,2012
23025,Grimbergen,17109,18701,35810,2012
23027,Hal (Hal-Vilvorde),17950,18902,36852,2012
23032,Herne,3234,3338,6572,2012
23033,Hoeilaart,5088,5451,10539,2012
23038,Kampenhout,5579,5737,11316,2012
23039,Kapelle-op-den-Bos,4465,4696,9161,2012
23044,Liedekerke,6157,6489,12646,2012
23045,Londerzeel,8833,9036,17869,2012
23047,Machelen (Hal-Vilvorde),6644,7094,13738,2012
23050,Meise,9009,9409,18418,2012
23052,Merchtem,7748,7945,15693,2012
