TOWN11CD,Town name,Educational attainment score,Income deprivation score
E34001445,Ashington (Northumberland) BUA,-4.71,0.80
E34001461,Newmarket BUA,-3.13,0.92
E34001475,Culcheth BUA,5.98,0.94
E34001481,Heswall BUA,6.67,0.93
E34001491,Sheerness BUA,-9.79,0.67
E34001493,Driffield BUA,0.01,0.91
E34001504,Retford BUA,-2.51,0.87
E34001518,Radcliffe on Trent BUA,4.55,0.94
E34001520,Ruskington BUA,4.08,0.89
E34001537,Wigton BUA,0.04,0.89
E34001545,Leominster BUA,-5.34,0.83
E34001604,Bodmin BUA,-2.33,0.82
E34001609,Caister-on-Sea BUA,-1.18,0.87
E34001645,Devizes BUA,-3.33,0.90
E34001686,Cotgrave BUA,-0.06,0.91
E34001696,Wingate BUA,-0.54,0.84
E34001704,Elland BUA,0.27,0.87
E34001711,Bishop's Stortford BUA,6.42,0.95
E34001715,Kenilworth BUA,7.80,0.95
E34001733,Hungerford BUA,0.08,0.91
E34001739,Countesthorpe BUA,6.56,0.95
E34001750,Easington (County Durham) BUA,-2.06,0.81
E34001759,New Romney BUA,-4.69,0.88
E34001766,Highworth BUA,1.72,0.93
E34001807,Washingborough BUA,1.23,0.94
E34001850,South Ockendon BUA,-3.33,0.83
E34001881,Chipping Norton BUA,0.65,0.92
E34001895,West Chiltington Common BUA,2.96,0.94
E34001896,New Rossington BUA,-4.46,0.83
E34001940,Brightlingsea BUA,-0.12,0.90
E34001958,Stanford-le-Hope BUA,-1.52,0.91
E34001962,Yeovil BUA,-2.57,0.89
E34001966,North Baddesley BUA,2.19,0.92
E34001982,Amesbury BUA,-2.41,0.92
E34001993,Crook BUA,-0.98,0.79
E34002010,Shipston-on-Stour BUA,1.47,0.92
E34002041,Maldon BUA,-0.33,0.90
E34002053,Sudbury BUA,-5.08,0.89
E34002054,Brandon (County Durham) BUA,0.54,0.85
E34002061,Ormskirk BUA,6.23,0.93
E34002074,Blyth (Northumberland) BUA,-6.36,0.80
E34002085,Holbeach BUA,-1.75,0.88
E34002105,East Horsley BUA,10.77,0.97
E34002125,Burwell BUA,4.40,0.94
E34002141,Darlington BUA,-0.80,0.83
E34002160,Axminster BUA,-2.66,0.89
E34002161,Looe BUA,-0.04,0.87
E34002164,Southwater BUA,4.61,0.96
E34002172,Cranfield BUA,2.88,0.97
E34002176,Norton Canes BUA,-6.21,0.87
E34002180,Newquay BUA,-0.42,0.85
E34002182,Hemsworth BUA,-6.65,0.81
E34002191,Lightwater BUA,6.77,0.97
E34002199,Bewdley BUA,2.18,0.91
E34002202,Sawtry BUA,1.46,0.93
E34002212,Millom BUA,-6.92,0.84
E34002254,Thirsk BUA,-1.76,0.91
E34002257,Huntingdon BUA,-4.35,0.89
E34002285,Shirebrook BUA,-4.06,0.82
E34002367,Sherborne BUA,-4.05,0.90
E34002384,Silsden BUA,3.18,0.94
E34002432,Willington (County Durham) BUA,-1.47,0.76
E34002433,South Molton BUA,-6.71,0.88
E34002446,Honiton BUA,-2.81,0.90
E34002470,Chippenham (Wiltshire) BUA,1.02,0.92
E34002474,Gillingham (North Dorset) BUA,1.32,0.92
E34002475,Redbourn BUA,7.17,0.94
E34002505,West Mersea BUA,0.70,0.93
E34002511,Tring BUA,5.65,0.94
E34002512,Guisborough BUA,0.60,0.89
E34002528,Olney BUA,10.75,0.95
E34002529,New Alresford BUA,2.59,0.95
E34002540,Marchwood BUA,2.02,0.94
E34002554,Rugeley BUA,-3.75,0.88
E34002562,Saffron Walden BUA,3.95,0.94
E34002605,Knutsford BUA,3.73,0.92
E34002608,Shepley BUA,3.28,0.96
E34002609,Biggleswade BUA,-1.06,0.92
E34002624,Ripon BUA,2.46,0.92
E34002637,Selsey BUA,-4.47,0.89
E34002653,Ilfracombe BUA,0.56,0.83
E34002678,Saltburn-by-the-Sea BUA,-0.40,0.86
E34002686,Ventnor BUA,-3.15,0.82
E34002689,Newton Aycliffe BUA,-1.48,0.83
E34002694,Newbiggin-by-the-Sea BUA,-9.62,0.75
E34002712,Filey BUA,-2.14,0.85
E34002717,Hoo St Werburgh BUA,-4.42,0.89
E34002727,Arlesey BUA,-2.73,0.92
E34002729,South Woodham Ferrers BUA,2.15,0.94
E34002730,Earls Barton BUA,1.71,0.93
E34002733,Lichfield BUA,2.17,0.91
E34002746,Calverton BUA,1.82,0.91
E34002766,Blackfield BUA,-3.87,0.89
E34002796,Yaxley BUA,-0.38,0.91
E34002801,Lymm BUA,8.13,0.95
E34002816,Dereham BUA,-4.17,0.89
E34002820,Shrewsbury BUA,0.57,0.89
E34002826,Witley BUA,3.08,0.93
E34002854,Newport (Telford and Wrekin) BUA,3.79,0.92
E34002872,Beaconsfield BUA,8.28,0.96
E34002877,Croesowallt BUA,-2.61,0.88
E34002878,Chapel-en-le-Frith BUA,2.55,0.92
E34002906,Longridge BUA,2.04,0.94
E34002917,Verwood BUA,0.65,0.95
E34002927,Whitchurch (Shropshire) BUA,-1.70,0.88
E34002963,Tidworth BUA,-6.79,0.95
E34002971,Bracebridge Heath BUA,7.12,0.93
E34002993,Barton-upon-Humber BUA,-1.36,0.86
E34003008,Aylsham BUA,-2.46,0.91
E34003021,Poringland BUA,-0.30,0.94
E34003024,Manningtree BUA,-0.63,0.92
E34003029,Keynsham BUA,2.40,0.91
E34003071,Sleaford BUA,0.01,0.90
E34003078,Barrow-in-Furness BUA,-4.45,0.81
E34003082,Wellesbourne BUA,4.89,0.94
E34003098,Clowne BUA,1.13,0.88
E34003102,Chatteris BUA,-1.87,0.88
E34003104,Brixham BUA,-4.39,0.84
E34003109,Murton (County Durham) BUA,-2.61,0.82
E34003112,Tiverton BUA,-3.83,0.88
E34003124,Hurstpierpoint BUA,2.08,0.95
E34003129,South Hayling BUA,-2.25,0.90
E34003154,Egremont BUA,-0.11,0.85
E34003165,Swaffham BUA,-3.05,0.85
E34003168,Ledbury BUA,-2.60,0.91
E34003174,Skipton BUA,0.24,0.90
E34003178,Bradford on Avon BUA,1.13,0.92
E34003196,Oundle BUA,1.00,0.95
E34003205,Sherburn in Elmet BUA,-1.05,0.93
E34003206,Ludlow BUA,-3.74,0.88
E34003218,Bingham BUA,5.92,0.93
E34003222,Lewes BUA,4.12,0.91
E34003241,Benson BUA,5.52,0.97
E34003243,Liphook BUA,3.98,0.94
E34003244,Haxby BUA,4.05,0.96
E34003253,Shaftesbury BUA,0.22,0.91
E34003258,Bungay BUA,-4.91,0.89
E34003294,Calne BUA,-0.53,0.89
E34003297,King's Hill BUA,5.53,0.96
E34003299,Cobham (Elmbridge) BUA,-0.22,0.96
E34003308,Beccles BUA,-1.11,0.88
E34003332,Tiptree BUA,-0.49,0.93
E34003343,Peacehaven BUA,-2.22,0.87
E34003347,Tetbury BUA,-1.16,0.92
E34003354,Leighton Buzzard BUA,-0.61,0.93
E34003376,Broughton Astley BUA,2.74,0.96
E34003389,Whittlesey BUA,-2.74,0.89
E34003397,Brandon (Forest Heath) BUA,-4.62,0.89
E34003412,Cottenham BUA,2.26,0.92
E34003418,Bourne BUA,3.67,0.92
E34003424,Staplehurst BUA,1.54,0.93
E34003425,Cheadle BUA,0.96,0.90
E34003440,Brixworth BUA,4.24,0.95
E34003456,Chipping Ongar BUA,-0.06,0.91
E34003462,Fleetwood BUA,-3.18,0.77
E34003463,Shildon BUA,-3.88,0.73
E34003490,Hemsby BUA,-0.95,0.87
E34003491,Ashby-de-la-Zouch BUA,4.83,0.92
E34003494,Wadebridge BUA,-0.73,0.90
E34003511,Harpenden BUA,11.03,0.96
E34003514,Halesworth BUA,-5.33,0.88
E34003517,Attleborough BUA,-3.01,0.92
E34003525,Fleet BUA,6.54,0.96
E34003541,Ramsey (Huntingdonshire) BUA,-0.69,0.91
E34003553,Wantage BUA,1.21,0.94
E34003561,East Leake BUA,4.37,0.94
E34003562,Askern BUA,-5.13,0.81
E34003565,Long Sutton (South Holland) BUA,-2.66,0.89
E34003566,Battle BUA,3.51,0.92
E34003574,New Ollerton BUA,-9.39,0.83
E34003596,Uttoxeter BUA,-0.67,0.92
E34003597,Bircotes BUA,-5.14,0.83
E34003606,North Walsham BUA,-5.85,0.87
E34003628,Seaton (East Devon) BUA,1.77,0.91
E34003657,Stotfold BUA,0.67,0.94
E34003678,Shepshed BUA,-4.19,0.92
E34003679,Clacton-on-Sea BUA,-4.44,0.78
E34003687,Whitby BUA,0.23,0.86
E34003707,Ashbourne BUA,1.92,0.93
E34003710,Cheltenham BUA,2.14,0.91
E34003723,Congleton BUA,2.58,0.91
E34003741,Rishton BUA,-4.13,0.86
E34003742,Todmorden BUA,-0.61,0.85
E34003743,Stocksbridge BUA,-0.02,0.89
E34003749,Shifnal BUA,3.08,0.91
E34003750,Twyford (Wokingham) BUA,4.10,0.96
E34003756,Spennymoor BUA,-2.62,0.83
E34003761,Stubbington BUA,4.06,0.95
E34003769,Alton (East Hampshire) BUA,1.07,0.93
E34003774,Radlett BUA,7.95,0.96
E34003793,Withernsea BUA,-7.57,0.76
E34003804,Neston BUA,2.28,0.92
E34003809,Middlewich BUA,3.23,0.92
E34003851,Edenbridge BUA,-2.83,0.90
E34003862,Maryport BUA,-6.38,0.80
E34003864,Wymondham (South Norfolk) BUA,4.51,0.92
E34003866,Creswell BUA,-6.49,0.80
E34003892,Saltash BUA,2.22,0.90
E34003904,Potters Bar BUA,3.32,0.92
E34003922,Pembury BUA,2.89,0.94
E34003928,Clevedon BUA,2.67,0.93
E34003940,Anstey BUA,0.78,0.92
E34003989,Great Torrington BUA,-5.66,0.88
E34004012,Wroughton BUA,0.49,0.91
E34004090,Tavistock BUA,0.70,0.91
E34004099,Codsall BUA,2.83,0.91
E34004122,Cockermouth BUA,2.47,0.92
E34004125,Blandford Forum BUA,-3.71,0.90
E34004134,Sittingbourne BUA,-1.83,0.87
E34004138,Buxton (High Peak) BUA,0.16,0.90
E34004141,Newhaven BUA,-5.59,0.84
E34004142,Hadleigh BUA,-0.95,0.92
E34004143,Thetford BUA,-6.09,0.88
E34004149,Billingshurst BUA,0.50,0.94
E34004151,Annfield Plain BUA,-1.93,0.79
E34004153,Emsworth BUA,0.57,0.92
E34004154,Bognor Regis BUA,-3.94,0.89
E34004155,Tarleton BUA,4.36,0.93
E34004157,Westbury (Wiltshire) BUA,-0.85,0.90
E34004162,Strensall BUA,5.57,0.96
E34004169,Liss BUA,4.05,0.94
E34004170,Towcester BUA,4.53,0.94
E34004175,Totnes BUA,0.50,0.86
E34004181,Hinckley BUA,0.56,0.92
E34004185,Yarm BUA,5.84,0.94
E34004187,Princes Risborough BUA,5.24,0.94
E34004190,Seaham BUA,0.14,0.82
E34004191,Hexham BUA,0.82,0.91
E34004192,Scunthorpe BUA,-3.79,0.84
E34004193,Belper BUA,0.52,0.93
E34004196,Littleport BUA,-3.80,0.90
E34004197,Freckleton BUA,1.14,0.91
E34004204,Berwick-upon-Tweed BUA,-3.25,0.87
E34004210,Stratford-upon-Avon BUA,3.15,0.93
E34004213,Wombourne BUA,2.21,0.92
E34004217,Burgess Hill BUA,0.96,0.94
E34004218,Spalding BUA,-0.52,0.91
E34004222,Ampthill BUA,1.74,0.95
E34004224,Barnard Castle BUA,6.60,0.90
E34004225,Matlock BUA,2.78,0.91
E34004228,Aveley BUA,-4.09,0.86
E34004229,Morpeth BUA,5.51,0.92
E34004233,Fakenham BUA,-1.99,0.89
E34004240,Lydney BUA,-1.99,0.86
E34004242,Cleator Moor BUA,-7.18,0.83
E34004246,Brentwood BUA,4.50,0.93
E34004251,Warrington BUA,1.61,0.88
E34004252,Coleshill (North Warwickshire) BUA,2.20,0.93
E34004256,Winsford (Cheshire West and Chester) BUA,-4.58,0.84
E34004262,Kirkby BUA,-4.62,0.70
E34004263,Alcester BUA,-1.78,0.91
E34004266,Desborough BUA,-1.57,0.92
E34004267,Biddulph BUA,-0.76,0.90
E34004270,Featherstone (Wakefield) BUA,-0.82,0.81
E34004274,Witney BUA,-0.06,0.93
E34004277,Liskeard BUA,-3.69,0.81
E34004278,Faversham BUA,-1.89,0.88
E34004281,Market Harborough BUA,0.37,0.94
E34004282,Swanage BUA,-0.39,0.91
E34004292,Evesham BUA,-2.76,0.90
E34004293,Canvey Island BUA,-2.99,0.85
E34004294,Great Malvern BUA,-1.03,0.89
E34004302,Cambourne BUA,3.39,0.93
E34004306,Salisbury BUA,-0.34,0.91
E34004315,Lowestoft BUA,-5.88,0.83
E34004321,Crewkerne BUA,1.73,0.90
E34004322,Ilkley BUA,8.19,0.96
E34004327,Skegness BUA,-3.18,0.75
E34004328,Malmesbury BUA,3.19,0.94
E34004329,Danbury BUA,7.91,0.94
E34004334,Hereford BUA,-4.15,0.89
E34004335,Formby BUA,8.04,0.94
E34004336,Sandbach BUA,3.26,0.93
E34004337,Edwinstowe BUA,-1.20,0.92
E34004338,St Ives (Cornwall) BUA,-1.01,0.87
E34004340,Pocklington BUA,-0.25,0.94
E34004343,Melton Mowbray BUA,1.12,0.92
E34004346,Catterick Garrison BUA,-4.76,0.96
E34004349,Tonbridge BUA,1.11,0.92
E34004354,Ravenshead BUA,9.53,0.97
E34004358,Castle Donington BUA,-2.93,0.93
E34004367,Penkridge BUA,0.51,0.92
E34004383,Boston BUA,-3.29,0.88
E34004388,Crowborough BUA,2.09,0.94
E34004389,King's Lynn BUA,-4.51,0.85
E34004392,Haywards Heath BUA,3.10,0.95
E34004393,Bridgwater BUA,-4.51,0.84
E34004397,Gainsborough BUA,-4.92,0.76
E34004398,Dover BUA,-5.03,0.83
E34004399,Maidstone BUA,0.58,0.90
E34004403,Bath BUA,1.30,0.92
E34004408,Scarborough BUA,-1.69,0.83
E34004409,Oxted BUA,3.30,0.95
E34004415,Shepton Mallet BUA,-1.50,0.90
E34004421,Stone (Stafford) BUA,3.62,0.93
E34004422,Godmanchester BUA,3.66,0.94
E34004426,Polesworth BUA,-0.26,0.90
E34004435,Otford BUA,4.17,0.95
E34004441,Kingsbridge BUA,3.85,0.89
E34004442,Tewkesbury BUA,-1.29,0.91
E34004453,Bulford Camp BUA,-4.69,0.95
E34004458,West Clandon BUA,6.98,0.96
E34004462,Prestwood BUA,7.23,0.96
E34004471,Barnstaple BUA,-2.52,0.87
E34004474,Preesall BUA,2.64,0.87
E34004479,Melksham BUA,-2.21,0.90
E34004483,Warminster BUA,-0.14,0.91
E34004484,Bridport BUA,1.62,0.89
E34004485,Thame BUA,1.58,0.95
E34004487,Durham BUA,5.29,0.93
E34004546,Rowlands Gill BUA,0.21,0.87
E35000002,Redcar BUASD,-2.09,0.82
E35000003,Kidderminster BUASD,-3.14,0.86
E35000004,Chadderton BUASD,0.67,0.84
E35000006,Longbenton BUASD,-0.20,0.87
E35000012,Watford BUASD,2.76,0.91
E35000013,Stevenage BUASD,-2.03,0.88
E35000015,Ramsbottom BUASD,6.08,0.93
E35000021,Holmfirth BUASD,4.72,0.93
E35000027,Chalford BUASD,4.54,0.96
E35000032,Church BUASD,-3.78,0.69
E35000033,Bentley BUASD,-1.39,0.85
E35000035,Wednesbury BUASD,-2.58,0.79
E35000036,Bursledon BUASD,-6.40,0.90
E35000037,Hyde (Tameside) BUASD,0.00,0.83
E35000042,Clayton-le-Moors BUASD,0.35,0.85
E35000043,Birstall BUASD,1.42,0.94
E35000044,Urmston BUASD,3.27,0.92
E35000050,Poynton BUASD,6.31,0.95
E35000051,York BUASD,0.52,0.92
E35000052,Hindley BUASD,-1.22,0.86
E35000056,Duffield BUASD,9.28,0.96
E35000057,Innsworth BUASD,0.54,0.93
E35000064,Uppermill BUASD,7.64,0.95
E35000067,Seaton Delaval BUASD,-0.93,0.87
E35000069,Sedgley BUASD,0.58,0.87
E35000070,Sandy BUASD,-2.44,0.90
E35000071,Launceston BUASD,-1.71,0.88
E35000072,Brinsley BUASD,0.96,0.91
E35000079,Gorleston-on-Sea BUASD,-5.40,0.80
