code_ins,lieu_de_residence,hommes,femmes,total,annee
01000,Belgique,4954595,5175803,10130398,1995
02000,Région flamande,2896602,2969455,5866057,1995
03000,Région wallonne,1606434,1706361,3312795,1995
04000,Région de Bruxelles-Capitale,451559,499987,951546,1995
10000,Province d'Anvers,803431,825236,1628667,1995
11000,Arrondissement d'Anvers,456427,476959,933386,1995
11001,Aartselaar,7228,7260,14488,1995
11002,Anvers,221907,237165,459072,1995
11004,Boechout,5788,5798,11586,1995
11005,Boom,6929,7308,14237,1995
11007,Borsbeek,5035,5349,10384,1995
11008,Brasschaat,18095,18593,36688,1995
11009,Brecht,11761,11461,23222,1995
11013,Edegem,11253,11679,22932,1995
11016,Essen,7700,7727,15427,1995
11018,Hemiksem,4581,4717,9298,1995
11021,Hove (Anvers),3983,4203,8186,1995
11022,Kalmthout,8319,8427,16746,1995
11023,Kapellen (Anvers),12399,12891,25290,1995
11024,Kontich,9638,9735,19373,1995
11025,Lint,3641,3733,7374,1995
11029,Mortsel,12485,13299,25784,1995
11030,Niel,3870,4077,7947,1995
11035,Ranst,8573,8409,16982,1995
11037,Rumst,7232,7235,14467,1995
11038,Schelle,3610,3640,7250,1995
11039,Schilde,9600,9748,19348,1995
11040,Schoten,15514,16280,31794,1995
11044,Stabroek,8325,8372,16697,1995
11050,Wijnegem,4110,4444,8554,1995
11052,Wommelgem,5568,5830,11398,1995
11053,Wuustwezel,8389,8162,16551,1995
11054,Zandhoven,5806,5709,11515,1995
11055,Zoersel,9589,9923,19512,1995
11056,Zwijndrecht,8858,9125,17983,1995
11057,Malle,6641,6660,13301,1995
12000,Arrondissement de Malines,148134,152558,300692,1995
12002,Berlaar,4850,4979,9829,1995
12005,Bonheiden,6498,6789,13287,1995
12007,Bornem,9693,9760,19453,1995
12009,Duffel,7416,8037,15453,1995
12014,Heist-op-den-Berg,18308,18189,36497,1995
12021,Lierre,15415,16289,31704,1995
12025,Malines,36780,38938,75718,1995
12026,Nijlen,10097,9896,19993,1995
12029,Putte,7549,7553,15102,1995
12030,Puurs,7687,7693,15380,1995
12034,Sint-Amands,3700,3676,7376,1995
12035,Sint-Katelijne-Waver,9201,9410,18611,1995
12040,Willebroek,10940,11349,22289,1995
13000,Arrondissement de Turnhout,198870,195719,394589,1995
13001,Arendonk,5733,5633,11366,1995
13002,Baerle-Duc,1059,1014,2073,1995
13003,Balen,9609,9287,18896,1995
13004,Beerse,7481,7366,14847,1995
13006,Dessel,4259,4109,8368,1995
13008,Geel,16638,16536,33174,1995
13010,Grobbendonk,5178,5035,10213,1995
13011,Herentals,12477,12642,25119,1995
13012,Herenthout,4092,3945,8037,1995
13013,Herselt,6724,6327,13051,1995
13014,Hoogstraten,8418,8081,16499,1995
13016,Hulshout,4020,3983,8003,1995
13017,Kasterlee,8733,8382,17115,1995
13019,Lille,7326,7049,14375,1995
13021,Meerhout,4620,4570,9190,1995
13023,Merksplas,3949,3806,7755,1995
13025,Mol,15421,15407,30828,1995
13029,Olen,5312,5325,10637,1995
13031,Oud-Turnhout,6071,6120,12191,1995
13035,Ravels,6265,6071,12336,1995
