code_ins,lieu_de_residence,hommes,femmes,total,annee
01000,Belgique,5223009,5442131,10665140,2008
02000,Région flamande,3039674,3121764,6161438,2008
03000,Région wallonne,1678066,1778290,3456356,2008
04000,Région de Bruxelles-Capitale,505269,542077,1047346,2008
10000,Province d'Anvers,847646,867505,1715151,2008
11000,Arrondissement d'Anvers,476650,492404,969054,2008
11001,Aartselaar,7071,7202,14273,2008
11002,Anvers,232046,239552,471598,2008
11004,Boechout,6167,6166,12333,2008
11005,Boom,8037,8407,16444,2008
11007,Borsbeek,4879,5246,10125,2008
11008,Brasschaat,18087,19093,37180,2008
11009,Brecht,13537,13633,27170,2008
11013,Edegem,10289,11092,21381,2008
11016,Essen,8687,8730,17417,2008
11018,Hemiksem,4855,5011,9866,2008
11021,Hove (Anvers),4070,4253,8323,2008
11022,Kalmthout,8645,8929,17574,2008
11023,Kapellen (Anvers),12794,13428,26222,2008
11024,Kontich,10018,10279,20297,2008
11025,Lint,4033,4056,8089,2008
11029,Mortsel,11798,12618,24416,2008
11030,Niel,4473,4681,9154,2008
11035,Ranst,9080,8971,18051,2008
11037,Rumst,7300,7394,14694,2008
11038,Schelle,3921,4113,8034,2008
11039,Schilde,9572,9949,19521,2008
11040,Schoten,16100,17159,33259,2008
11044,Stabroek,8808,8927,17735,2008
11050,Wijnegem,4294,4590,8884,2008
11052,Wommelgem,5964,6226,12190,2008
11053,Wuustwezel,9434,9405,18839,2008
11054,Zandhoven,6210,6134,12344,2008
11055,Zoersel,10347,10649,20996,2008
11056,Zwijndrecht,9057,9363,18420,2008
11057,Malle,7077,7148,14225,2008
12000,Arrondissement de Malines,156850,162207,319057,2008
12002,Berlaar,5301,5429,10730,2008
12005,Bonheiden,7059,7498,14557,2008
12007,Bornem,10050,10291,20341,2008
12009,Duffel,7905,8333,16238,2008
12014,Heist-op-den-Berg,19463,19738,39201,2008
12021,Lierre,16263,17219,33482,2008
12025,Malines,38867,40604,79471,2008
12026,Nijlen,10506,10702,21208,2008
12029,Putte,7975,7931,15906,2008
12030,Puurs,8164,8236,16400,2008
12034,Sint-Amands,3898,3991,7889,2008
12035,Sint-Katelijne-Waver,9824,10150,19974,2008
12040,Willebroek,11575,12085,23660,2008
13000,Arrondissement de Turnhout,214146,212894,427040,2008
13001,Arendonk,6281,6247,12528,2008
13002,Baerle-Duc,1187,1197,2384,2008
13003,Balen,10402,10236,20638,2008
13004,Beerse,8294,8461,16755,2008
13006,Dessel,4484,4447,8931,2008
13008,Geel,18116,17897,36013,2008
13010,Grobbendonk,5414,5400,10814,2008
13011,Herentals,12978,13288,26266,2008
13012,Herenthout,4251,4279,8530,2008
13013,Herselt,7180,6929,14109,2008
13014,Hoogstraten,9772,9422,19194,2008
13016,Hulshout,4750,4842,9592,2008
13017,Kasterlee,9194,8859,18053,2008
13019,Lille,7986,7821,15807,2008
13021,Meerhout,4795,4784,9579,2008
13023,Merksplas,4320,4019,8339,2008
13025,Mol,16609,16777,33386,2008
13029,Olen,5791,5758,11549,2008
13031,Oud-Turnhout,6347,6330,12677,2008
13035,Ravels,7120,7019,14139,2008
13036,Retie,5386,5159,10545,2008
13037,Rijkevorsel,5540,5442,10982,2008
13040,Turnhout,19720,20344,40064,2008
13044,Vorselaar,3704,3695,7399,2008
13046,Vosselaar,5146,5103,10249,2008
13049,Westerlo,11826,11609,23435,2008
13053,Laakdal,7553,7530,15083,2008
20001,Province du Brabant flamand,519269,540899,1060168,2008
20002,Province du Brabant wallon,181081,192312,373393,2008
21000,Arrondissement de Bruxelles-Capitale,505269,542077,1047346,2008
21001,Anderlecht,48154,50835,98989,2008
21002,Auderghem,14126,15923,30049,2008
21003,Berchem-Sainte-Agathe,9982,10999,20981,2008
21004,Bruxelles,74353,73930,148283,2008
21005,Etterbeek,20387,22585,42972,2008
21006,Evere,16175,18531,34706,2008
21007,Forest (Bruxelles-Capitale),23265,25584,48849,2008
21008,Ganshoren,9905,11826,21731,2008
21009,Ixelles,38708,40818,79526,2008
21010,Jette,20824,23790,44614,2008
21011,Koekelberg,9285,9740,19025,2008
21012,Molenbeek-Saint-Jean,41143,42404,83547,2008
21013,Saint-Gilles,22733,22385,45118,2008
21014,Saint-Josse-ten-Noode,12374,11728,24102,2008
21015,Schaerbeek,57140,58909,116049,2008
21016,Uccle,35275,41455,76730,2008
21017,Watermael-Boitsfort,11107,13024,24131,2008
21018,Woluwe-Saint-Lambert,22398,26892,49290,2008
21019,Woluwe-Saint-Pierre,17935,20719,38654,2008
23000,Arrondissement de Hal-Vilvorde,284434,299951,584385,2008
23002,Asse,14319,15229,29548,2008
23003,Beersel,11568,12024,23592,2008
23009,Biévène,1017,1077,2094,2008
23016,Dilbeek,19117,20543,39660,2008
23023,Gammerages,4070,4217,8287,2008
23024,Gooik,4474,4459,8933,2008
23025,Grimbergen,16495,18023,34518,2008
