"sampleID","patient","type","A1BG"
"TCGA-93-8067-01A","TCGA-93-8067","tumor",25.2567
"TCGA-93-A4JN-01A","TCGA-93-A4JN","tumor",149.4181
"TCGA-93-A4JO-01A","TCGA-93-A4JO","tumor",176.2134
"TCGA-93-A4JP-01A","TCGA-93-A4JP","tumor",36.8012
"TCGA-93-A4JQ-01A","TCGA-93-A4JQ","tumor",215.4272
"TCGA-95-7039-01A","TCGA-95-7039","tumor",276.5
"TCGA-95-7043-01A","TCGA-95-7043","tumor",7.8385
"TCGA-95-7562-01A","TCGA-95-7562","tumor",30.0718
"TCGA-95-7567-01A","TCGA-95-7567","tumor",37.3699
"TCGA-95-7944-01A","TCGA-95-7944","tumor",64.3302
"TCGA-95-7947-01A","TCGA-95-7947","tumor",27.1948
"TCGA-95-7948-01A","TCGA-95-7948","tumor",47.6974
"TCGA-95-8039-01A","TCGA-95-8039","tumor",49.3256
"TCGA-95-8494-01A","TCGA-95-8494","tumor",30.5226
"TCGA-95-A4VK-01A","TCGA-95-A4VK","tumor",67.838
"TCGA-95-A4VN-01A","TCGA-95-A4VN","tumor",64.2195
"TCGA-95-A4VP-01A","TCGA-95-A4VP","tumor",111.4087
"TCGA-97-7546-01A","TCGA-97-7546","tumor",69.3111
"TCGA-97-7547-01A","TCGA-97-7547","tumor",57.7306
"TCGA-97-7552-01A","TCGA-97-7552","tumor",53.5952
"TCGA-97-7553-01A","TCGA-97-7553","tumor",34.3779
"TCGA-97-7554-01A","TCGA-97-7554","tumor",178.2841
"TCGA-97-7937-01A","TCGA-97-7937","tumor",28.1237
"TCGA-97-7938-01A","TCGA-97-7938","tumor",166.2356
"TCGA-97-7941-01A","TCGA-97-7941","tumor",65.9376
"TCGA-97-8171-01A","TCGA-97-8171","tumor",8.4258
"TCGA-97-8172-01A","TCGA-97-8172","tumor",100.6827
"TCGA-97-8174-01A","TCGA-97-8174","tumor",134.5288
"TCGA-97-8175-01A","TCGA-97-8175","tumor",271.1304
"TCGA-97-8176-01A","TCGA-97-8176","tumor",48.1225
"TCGA-97-8177-01A","TCGA-97-8177","tumor",171.0508
"TCGA-97-8179-01A","TCGA-97-8179","tumor",57.4001
"TCGA-97-8547-01A","TCGA-97-8547","tumor",113.2649
"TCGA-97-8552-01A","TCGA-97-8552","tumor",296.9756
"TCGA-97-A4LX-01A","TCGA-97-A4LX","tumor",156.0802
"TCGA-97-A4M0-01A","TCGA-97-A4M0","tumor",71.7929
"TCGA-97-A4M1-01A","TCGA-97-A4M1","tumor",69.2952
"TCGA-97-A4M2-01A","TCGA-97-A4M2","tumor",207.7726
"TCGA-97-A4M3-01A","TCGA-97-A4M3","tumor",115.2453
"TCGA-97-A4M5-01A","TCGA-97-A4M5","tumor",42.6759
"TCGA-97-A4M6-01A","TCGA-97-A4M6","tumor",39.2005
"TCGA-97-A4M7-01A","TCGA-97-A4M7","tumor",74.7443
"TCGA-99-7458-01A","TCGA-99-7458","tumor",103.1267
"TCGA-99-8025-01A","TCGA-99-8025","tumor",347.6974
"TCGA-99-8028-01A","TCGA-99-8028","tumor",323.2587
"TCGA-99-8032-01A","TCGA-99-8032","tumor",98.4688
"TCGA-99-8033-01A","TCGA-99-8033","tumor",60.3047
"TCGA-99-AA5R-01A","TCGA-99-AA5R","tumor",212.3453
"TCGA-J2-8192-01A","TCGA-J2-8192","tumor",60.5462
"TCGA-J2-8194-01A","TCGA-J2-8194","tumor",136.2669
"TCGA-J2-A4AD-01A","TCGA-J2-A4AD","tumor",206.8331
"TCGA-J2-A4AE-01A","TCGA-J2-A4AE","tumor",67.2636
"TCGA-J2-A4AG-01A","TCGA-J2-A4AG","tumor",147.5616
"TCGA-L4-A4E5-01A","TCGA-L4-A4E5","tumor",226.2253
"TCGA-L4-A4E6-01A","TCGA-L4-A4E6","tumor",150.9005
"TCGA-L9-A443-01A","TCGA-L9-A443","tumor",285.9076
"TCGA-L9-A444-01A","TCGA-L9-A444","tumor",715.7251
"TCGA-L9-A50W-01A","TCGA-L9-A50W","tumor",61.1448
"TCGA-L9-A5IP-01A","TCGA-L9-A5IP","tumor",51.3409
"TCGA-L9-A743-01A","TCGA-L9-A743","tumor",181.6478
"TCGA-L9-A7SV-01A","TCGA-L9-A7SV","tumor",189.2946
"TCGA-L9-A8F4-01A","TCGA-L9-A8F4","tumor",265.2906
"TCGA-MN-A4N1-01A","TCGA-MN-A4N1","tumor",680.9723
"TCGA-MN-A4N4-01A","TCGA-MN-A4N4","tumor",343.3507
"TCGA-MN-A4N5-01A","TCGA-MN-A4N5","tumor",353.1575
"TCGA-MP-A4SV-01A","TCGA-MP-A4SV","tumor",64.5661
"TCGA-MP-A4SW-01A","TCGA-MP-A4SW","tumor",144.622
"TCGA-MP-A4SY-01A","TCGA-MP-A4SY","tumor",58.8219
"TCGA-MP-A4T4-01A","TCGA-MP-A4T4","tumor",213.0691
"TCGA-MP-A4T6-01A","TCGA-MP-A4T6","tumor",371.1107
"TCGA-MP-A4T7-01A","TCGA-MP-A4T7","tumor",50.6928
"TCGA-MP-A4T8-01A","TCGA-MP-A4T8","tumor",25.5538
"TCGA-MP-A4T9-01A","TCGA-MP-A4T9","tumor",55.7547
"TCGA-MP-A4TA-01A","TCGA-MP-A4TA","tumor",87.6606
"TCGA-MP-A4TC-01A","TCGA-MP-A4TC","tumor",466.1692
"TCGA-MP-A4TD-01A","TCGA-MP-A4TD","tumor",104.5934
"TCGA-MP-A4TE-01A","TCGA-MP-A4TE","tumor",531.326
"TCGA-MP-A4TF-01A","TCGA-MP-A4TF","tumor",36.7047
"TCGA-MP-A4TH-01A","TCGA-MP-A4TH","tumor",71.9188
"TCGA-MP-A4TI-01A","TCGA-MP-A4TI","tumor",65.171
"TCGA-MP-A4TJ-01A","TCGA-MP-A4TJ","tumor",104.6463
"TCGA-MP-A4TK-01A","TCGA-MP-A4TK","tumor",180.6389
"TCGA-MP-A5C7-01A","TCGA-MP-A5C7","tumor",117.037
"TCGA-NJ-A4YF-01A","TCGA-NJ-A4YF","tumor",395.5043
"TCGA-NJ-A4YG-01A","TCGA-NJ-A4YG","tumor",190.3868
"TCGA-NJ-A4YI-01A","TCGA-NJ-A4YI","tumor",345.6395
"TCGA-NJ-A4YP-01A","TCGA-NJ-A4YP","tumor",72.533
"TCGA-NJ-A4YQ-01A","TCGA-NJ-A4YQ","tumor",165.6874
"TCGA-NJ-A55A-01A","TCGA-NJ-A55A","tumor",99.4055
"TCGA-NJ-A55O-01A","TCGA-NJ-A55O","tumor",42.007
"TCGA-NJ-A55R-01A","TCGA-NJ-A55R","tumor",273.9088
"TCGA-NJ-A7XG-01A","TCGA-NJ-A7XG","tumor",245.9714
"TCGA-O1-A52J-01A","TCGA-O1-A52J","tumor",209.4211
"TCGA-S2-AA1A-01A","TCGA-S2-AA1A","tumor",114.5543
"TCGA-38-4625-11A","TCGA-38-4625","normal",237.2049
"TCGA-38-4626-11A","TCGA-38-4626","normal",243.9686
"TCGA-38-4627-11A","TCGA-38-4627","normal",368.0002
"TCGA-38-4632-11A","TCGA-38-4632","normal",95.3978
"TCGA-44-2655-11A","TCGA-44-2655","normal",86.1017
"TCGA-44-2657-11A","TCGA-44-2657","normal",138.7365
"TCGA-44-2661-11A","TCGA-44-2661","normal",74.253
"TCGA-44-2662-11A","TCGA-44-2662","normal",51.2577
"TCGA-44-2665-11A","TCGA-44-2665","normal",103.77
"TCGA-44-2668-11A","TCGA-44-2668","normal",99.6544
"TCGA-44-3396-11A","TCGA-44-3396","normal",104.7258
"TCGA-44-5645-11A","TCGA-44-5645","normal",101.0864
"TCGA-44-6144-11A","TCGA-44-6144","normal",105.3009
"TCGA-44-6145-11A","TCGA-44-6145","normal",83.4694
"TCGA-44-6146-11A","TCGA-44-6146","normal",28.0592
"TCGA-44-6147-11A","TCGA-44-6147","normal",76.8026
"TCGA-44-6148-11A","TCGA-44-6148","normal",58.2533
"TCGA-44-6776-11A","TCGA-44-6776","normal",47.3475
"TCGA-44-6777-11A","TCGA-44-6777","normal",103.5626
"TCGA-44-6778-11A","TCGA-44-6778","normal",55
"TCGA-49-4490-11A","TCGA-49-4490","normal",115.9594
"TCGA-49-4512-11A","TCGA-49-4512","normal",126.8209
"TCGA-49-6742-11A","TCGA-49-6742","normal",72.5908
"TCGA-49-6743-11A","TCGA-49-6743","normal",80.2591
"TCGA-49-6744-11A","TCGA-49-6744","normal",34.3276
"TCGA-49-6745-11A","TCGA-49-6745","normal",146.8635
"TCGA-49-6761-11A","TCGA-49-6761","normal",71.5768
"TCGA-50-5930-11A","TCGA-50-5930","normal",84.4799
"TCGA-50-5931-11A","TCGA-50-5931","normal",73.6252
"TCGA-50-5932-11A","TCGA-50-5932","normal",48.7013
"TCGA-50-5933-11A","TCGA-50-5933","normal",65.7423
"TCGA-50-5935-11A","TCGA-50-5935","normal",64.8762
"TCGA-50-5936-11A","TCGA-50-5936","normal",65.7557
"TCGA-50-5939-11A","TCGA-50-5939","normal",51.7594
"TCGA-50-6595-11A","TCGA-50-6595","normal",71.5654
"TCGA-55-6968-11A","TCGA-55-6968","normal",141.023
"TCGA-55-6969-11A","TCGA-55-6969","normal",133.4576
"TCGA-55-6970-11A","TCGA-55-6970","normal",75.2861
"TCGA-55-6971-11A","TCGA-55-6971","normal",56.2633
"TCGA-55-6972-11A","TCGA-55-6972","normal",74.1811
"TCGA-55-6975-11A","TCGA-55-6975","normal",81.5932
"TCGA-55-6978-11A","TCGA-55-6978","normal",97.5885
"TCGA-55-6979-11A","TCGA-55-6979","normal",58.0935
"TCGA-55-6980-11A","TCGA-55-6980","normal",80.7096
"TCGA-55-6981-11A","TCGA-55-6981","normal",93.3811
"TCGA-55-6982-11A","TCGA-55-6982","normal",92.7138
"TCGA-55-6983-11A","TCGA-55-6983","normal",53.7728
"TCGA-55-6984-11A","TCGA-55-6984","normal",127.2334
"TCGA-55-6985-11A","TCGA-55-6985","normal",115.1438
"TCGA-55-6986-11A","TCGA-55-6986","normal",120.9846
"TCGA-73-4676-11A","TCGA-73-4676","normal",138.2039
"TCGA-91-6828-11A","TCGA-91-6828","normal",49.5563
"TCGA-91-6829-11A","TCGA-91-6829","normal",177.9141
"TCGA-91-6831-11A","TCGA-91-6831","normal",62.9634
"TCGA-91-6835-11A","TCGA-91-6835","normal",76.7722
"TCGA-91-6836-11A","TCGA-91-6836","normal",79.8192
"TCGA-91-6847-11A","TCGA-91-6847","normal",67.6923
"TCGA-91-6849-11A","TCGA-91-6849","normal",68.8167
