code_ins,lieu_de_residence,hommes,femmes,total,annee
01000,Belgique,5628228,5803178,11431406,2019
02000,Région flamande,3260033,3329036,6589069,2019
03000,Région wallonne,1775766,1858029,3633795,2019
04000,Région de Bruxelles-Capitale,592429,616113,1208542,2019
10000,Province d'Anvers,921747,936239,1857986,2019
11000,Arrondissement d'Anvers,520930,530371,1051301,2019
11001,Aartselaar,7089,7204,14293,2019
11002,Anvers,262921,263014,525935,2019
11004,Boechout,6506,6760,13266,2019
11005,Boom,9024,9220,18244,2019
11007,Borsbeek,5270,5584,10854,2019
11008,Brasschaat,18220,19726,37946,2019
11009,Brecht,14555,14713,29268,2019
11013,Edegem,10614,11449,22063,2019
11016,Essen,9519,9519,19038,2019
11018,Hemiksem,5768,5791,11559,2019
11021,Hove (Anvers),3892,4233,8125,2019
11022,Kalmthout,9126,9569,18695,2019
11023,Kapellen (Anvers),13145,13705,26850,2019
11024,Kontich,10393,10722,21115,2019
11025,Lint,4343,4375,8718,2019
11029,Mortsel,12630,13469,26099,2019
11030,Niel,5215,5286,10501,2019
11035,Ranst,9516,9492,19008,2019
11037,Rumst,7509,7581,15090,2019
11038,Schelle,4148,4370,8518,2019
11039,Schilde,9591,10061,19652,2019
11040,Schoten,16677,17840,34517,2019
11044,Stabroek,9293,9417,18710,2019
11050,Wijnegem,4751,5065,9816,2019
11052,Wommelgem,6372,6493,12865,2019
11053,Wuustwezel,10573,10397,20970,2019
11054,Zandhoven,6488,6537,13025,2019
11055,Zoersel,10749,11195,21944,2019
11056,Zwijndrecht,9333,9723,19056,2019
11057,Malle,7700,7861,15561,2019
12000,Arrondissement de Malines,169469,175349,344818,2019
12002,Berlaar,5693,5834,11527,2019
12005,Bonheiden,7281,7729,15010,2019
12007,Bornem,10556,10810,21366,2019
12009,Duffel,8574,8917,17491,2019
12014,Heist-op-den-Berg,21068,21613,42681,2019
12021,Lierre,17613,18629,36242,2019
12025,Malines,42389,44227,86616,2019
12026,Nijlen,11359,11590,22949,2019
12029,Putte,8807,8993,17800,2019
12035,Sint-Katelijne-Waver,10205,10587,20792,2019
12040,Willebroek,13072,13390,26462,2019
12041,Puurs-Sint-Amands,12852,13030,25882,2019
13000,Arrondissement de Turnhout,231348,230519,461867,2019
13001,Arendonk,6656,6637,13293,2019
13002,Baerle-Duc,1380,1380,2760,2019
13003,Balen,11269,11349,22618,2019
13004,Beerse,9007,9077,18084,2019
13006,Dessel,4812,4786,9598,2019
13008,Geel,20256,20097,40353,2019
13010,Grobbendonk,5592,5563,11155,2019
13011,Herentals,13857,14320,28177,2019
13012,Herenthout,4494,4567,9061,2019
13013,Herselt,7319,7204,14523,2019
13014,Hoogstraten,10896,10459,21355,2019
13016,Hulshout,5213,5211,10424,2019
13017,Kasterlee,9418,9237,18655,2019
13019,Lille,8358,8171,16529,2019
13021,Meerhout,5234,5127,10361,2019
13023,Merksplas,4385,4215,8600,2019
13025,Mol,18308,18517,36825,2019
13029,Olen,6259,6246,12505,2019
13031,Oud-Turnhout,6835,6827,13662,2019
13035,Ravels,7569,7440,15009,2019
13036,Retie,5748,5648,11396,2019
13037,Rijkevorsel,6090,5970,12060,2019
13040,Turnhout,22248,22416,44664,2019
13044,Vorselaar,3938,3923,7861,2019
13046,Vosselaar,5568,5619,11187,2019
13049,Westerlo,12556,12495,25051,2019
13053,Laakdal,8083,8018,16101,2019
20001,Province du Brabant flamand,562014,584161,1146175,2019
20002,Province du Brabant wallon,195916,207683,403599,2019
21000,Arrondissement de Bruxelles-Capitale,592429,616113,1208542,2019
21001,Anderlecht,59633,60081,119714,2019
21002,Auderghem,16206,17807,34013,2019
21003,Berchem-Sainte-Agathe,12190,12989,25179,2019
21004,Bruxelles,92768,88958,181726,2019
21005,Etterbeek,23262,25105,48367,2019
21006,Evere,19881,21882,41763,2019
21007,Forest (Bruxelles-Capitale),27288,29001,56289,2019
21008,Ganshoren,11907,12995,24902,2019
21009,Ixelles,42510,44366,86876,2019
21010,Jette,25212,27324,52536,2019
21011,Koekelberg,10939,11051,21990,2019
21012,Molenbeek-Saint-Jean,48718,48744,97462,2019
21013,Saint-Gilles,25221,25046,50267,2019
21014,Saint-Josse-ten-Noode,14279,13178,27457,2019
21015,Schaerbeek,66467,66842,133309,2019
21016,Uccle,38531,44493,83024,2019
21017,Watermael-Boitsfort,11644,13540,25184,2019
21018,Woluwe-Saint-Lambert,26272,30388,56660,2019
21019,Woluwe-Saint-Pierre,19501,22323,41824,2019
23000,Arrondissement de Hal-Vilvorde,310532,326909,637441,2019
23002,Asse,16143,17015,33158,2019
23003,Beersel,12454,12797,25251,2019
23009,Biévène,1087,1072,2159,2019
23016,Dilbeek,20631,22216,42847,2019
23023,Gammerages,4304,4442,8746,2019
23024,Gooik,4518,4652,9170,2019
23025,Grimbergen,18047,19495,37542,2019
23027,Hal (Hal-Vilvorde),19144,20396,39540,2019
23032,Herne,3278,3387,6665,2019
23033,Hoeilaart,5554,5767,11321,2019
23038,Kampenhout,5886,6086,11972,2019
23039,Kapelle-op-den-Bos,4568,4845,9413,2019
23044,Liedekerke,6504,6791,13295,2019
23045,Londerzeel,9199,9550,18749,2019
23047,Machelen (Hal-Vilvorde),7497,7972,15469,2019
23050,Meise,9452,9959,19411,2019
23052,Merchtem,8117,8466,16583,2019
23060,Opwijk,7143,7404,14547,2019
23062,Overijse,12422,12981,25403,2019
23064,Pepingen,2224,2255,4479,2019
23077,Sint-Pieters-Leeuw,16733,17495,34228,2019
23081,Steenokkerzeel,5940,6195,12135,2019
23086,Ternat,7732,8014,15746,2019
23088,Vilvorde,21758,22969,44727,2019
23094,Zaventem,16773,17595,34368,2019
23096,Zemst,11449,11909,23358,2019
23097,Roosdaal,5740,5891,11631,2019
23098,Drogenbos,2680,3009,5689,2019
23099,Kraainem,6671,7059,13730,2019
23100,Linkebeek,2206,2465,4671,2019
23101,Rhode-Saint-Genèse,8873,9514,18387,2019
23102,Wemmel,7995,8496,16491,2019
23103,Wezembeek-Oppem,6867,7391,14258,2019
23104,Lennik,4450,4624,9074,2019
23105,Affligem,6493,6735,13228,2019
24000,Arrondissement de Louvain,251482,257252,508734,2019
24001,Aarschot,14725,15390,30115,2019
24007,Begijnendijk,4951,5163,10114,2019
24008,Bekkevoort,3186,3120,6306,2019
24009,Bertem,4904,5103,10007,2019
24011,Bierbeek,5037,5046,10083,2019
24014,Boortmeerbeek,6211,6305,12516,2019
24016,Boutersem,4080,4162,8242,2019
24020,Diest,11771,12227,23998,2019
24028,Geetbets,3062,3056,6118,2019
24033,Haacht,7123,7454,14577,2019
24038,Herent,10588,11094,21682,2019
24041,Hoegaarden,3492,3394,6886,2019
24043,Holsbeek,5003,5016,10019,2019
24045,Huldenberg,4880,5041,9921,2019
24048,Keerbergen,6269,6581,12850,2019
24054,Kortenaken,3952,3923,7875,2019
24055,Kortenberg,9965,10314,20279,2019
24059,Landen,7780,8171,15951,2019
24062,Louvain,51012,50612,101624,2019
24066,Lubbeek,7237,7322,14559,2019
24086,Oud-Heverlee,5543,5569,11112,2019
24094,Rotselaar,8334,8459,16793,2019
24104,Tervuren,10898,11524,22422,2019
24107,Tirlemont,16895,18080,34975,2019
24109,Tremelo,7418,7496,14914,2019
24130,Léau,4164,4316,8480,2019
24133,Linter,3607,3662,7269,2019
24134,Montaigu-Zichem,11393,11636,23029,2019
24135,Tielt-Winge,5388,5359,10747,2019
24137,Glabbeek,2614,2657,5271,2019
25000,Arrondissement de Nivelles,195916,207683,403599,2019
25005,Beauvechain,3585,3658,7243,2019
25014,Braine-l'Alleud,19255,20753,40008,2019
25015,Braine-le-Château,5149,5400,10549,2019
25018,Chaumont-Gistoux,5785,6013,11798,2019
25023,Court-Saint-Etienne,5156,5384,10540,2019
25031,Genappe,7611,7816,15427,2019
25037,Grez-Doiceau,6691,6977,13668,2019
25043,Incourt,2700,2787,5487,2019
25044,Ittre,3355,3534,6889,2019
25048,Jodoigne,6913,7210,14123,2019
25050,La Hulpe,3545,3798,7343,2019
25068,Mont-Saint-Guibert,3819,3952,7771,2019
25072,Nivelles,13653,15081,28734,2019
25084,Perwez (Nivelles),4498,4805,9303,2019
25091,Rixensart,10731,11827,22558,2019
25105,Tubize,12815,13418,26233,2019
25107,Villers-la-Ville,5305,5397,10702,2019
25110,Waterloo,14356,15972,30328,2019
25112,Wavre,16505,17891,34396,2019
25117,Chastre,3794,3853,7647,2019
25118,Hélécine,1771,1782,3553,2019
25119,Lasne,6974,7270,14244,2019
25120,Orp-Jauche,4364,4560,8924,2019
25121,Ottignies-Louvain-la-Neuve,15308,16135,31443,2019
25122,Ramillies,3271,3251,6522,2019
25123,Rebecq,5439,5540,10979,2019
25124,Walhain,3568,3619,7187,2019
30000,Province de Flandre occidentale,592693,603103,1195796,2019
31000,Arrondissement de Bruges,138831,143378,282209,2019
31003,Beernem,8046,7717,15763,2019
31004,Blankenberge,10058,10378,20436,2019
31005,Bruges,57598,60727,118325,2019
