code_ins,lieu_de_residence,hommes,femmes,total,annee
01000,Belgique,4940087,5160254,10100341,1994
02000,Région flamande,2887991,2958961,5846952,1994
03000,Région wallonne,1602761,1701590,3304351,1994
04000,Région de Bruxelles-Capitale,449335,499703,949038,1994
10000,Province d'Anvers,802031,822996,1625027,1994
11000,Arrondissement d'Anvers,456984,476819,933803,1994
11001,Aartselaar,7239,7294,14533,1994
11002,Anvers,224055,238825,462880,1994
11004,Boechout,5738,5774,11512,1994
11005,Boom,6806,7232,14038,1994
11007,Borsbeek,4999,5297,10296,1994
11008,Brasschaat,18013,18484,36497,1994
11009,Brecht,11508,11220,22728,1994
11013,Edegem,11281,11757,23038,1994
11016,Essen,7620,7578,15198,1994
11018,Hemiksem,4591,4692,9283,1994
11021,Hove (Anvers),3954,4176,8130,1994
11022,Kalmthout,8207,8350,16557,1994
11023,Kapellen (Anvers),12317,12797,25114,1994
11024,Kontich,9616,9673,19289,1994
11025,Lint,3595,3685,7280,1994
11029,Mortsel,12501,13279,25780,1994
11030,Niel,3867,4081,7948,1994
11035,Ranst,8499,8289,16788,1994
11037,Rumst,7225,7166,14391,1994
11038,Schelle,3583,3573,7156,1994
11039,Schilde,9616,9747,19363,1994
11040,Schoten,15369,16156,31525,1994
11044,Stabroek,8289,8264,16553,1994
11050,Wijnegem,4109,4417,8526,1994
11052,Wommelgem,5531,5809,11340,1994
11053,Wuustwezel,8259,8013,16272,1994
11054,Zandhoven,5738,5667,11405,1994
11055,Zoersel,9436,9798,19234,1994
11056,Zwijndrecht,8882,9172,18054,1994
11057,Malle,6541,6554,13095,1994
12000,Arrondissement de Malines,147540,151759,299299,1994
12002,Berlaar,4865,4960,9825,1994
12005,Bonheiden,6420,6731,13151,1994
12007,Bornem,9611,9640,19251,1994
12009,Duffel,7365,8044,15409,1994
12014,Heist-op-den-Berg,18204,18027,36231,1994
12021,Lierre,15369,16205,31574,1994
12025,Malines,36734,38916,75650,1994
12026,Nijlen,10065,9814,19879,1994
12029,Putte,7453,7454,14907,1994
12030,Puurs,7657,7638,15295,1994
12034,Sint-Amands,3723,3673,7396,1994
12035,Sint-Katelijne-Waver,9161,9378,18539,1994
12040,Willebroek,10913,11279,22192,1994
13000,Arrondissement de Turnhout,197507,194418,391925,1994
13001,Arendonk,5731,5635,11366,1994
13002,Baerle-Duc,1077,1022,2099,1994
13003,Balen,9615,9306,18921,1994
13004,Beerse,7395,7277,14672,1994
13006,Dessel,4243,4112,8355,1994
13008,Geel,16573,16450,33023,1994
13010,Grobbendonk,5132,5021,10153,1994
13011,Herentals,12380,12533,24913,1994
13012,Herenthout,4048,3939,7987,1994
13013,Herselt,6677,6312,12989,1994
13014,Hoogstraten,8289,8003,16292,1994
13016,Hulshout,3941,3897,7838,1994
13017,Kasterlee,8625,8247,16872,1994
13019,Lille,7227,6939,14166,1994
13021,Meerhout,4628,4541,9169,1994
13023,Merksplas,3920,3789,7709,1994
13025,Mol,15377,15374,30751,1994
13029,Olen,5297,5312,10609,1994
