code_ins,lieu_de_residence,hommes,femmes,total,annee
01000,Belgique,5111325,5334527,10445852,2005
02000,Région flamande,2979825,3063336,6043161,2005
03000,Région wallonne,1647914,1748028,3395942,2005
04000,Région de Bruxelles-Capitale,483586,523163,1006749,2005
10000,Province d'Anvers,827616,849242,1676858,2005
11000,Arrondissement d'Anvers,465649,483209,948858,2005
11001,Aartselaar,7046,7226,14272,2005
11002,Anvers,223818,233931,457749,2005
11004,Boechout,6043,5949,11992,2005
11005,Boom,7676,8053,15729,2005
11007,Borsbeek,4949,5355,10304,2005
11008,Brasschaat,18187,18993,37180,2005
11009,Brecht,12999,13030,26029,2005
11013,Edegem,10608,11258,21866,2005
11016,Essen,8448,8424,16872,2005
11018,Hemiksem,4692,4858,9550,2005
11021,Hove (Anvers),4000,4177,8177,2005
11022,Kalmthout,8565,8875,17440,2005
11023,Kapellen (Anvers),12744,13231,25975,2005
11024,Kontich,10002,10244,20246,2005
11025,Lint,3966,4013,7979,2005
11029,Mortsel,11735,12658,24393,2005
11030,Niel,4279,4435,8714,2005
11035,Ranst,8893,8832,17725,2005
11037,Rumst,7250,7310,14560,2005
11038,Schelle,3828,3996,7824,2005
11039,Schilde,9598,10020,19618,2005
11040,Schoten,16186,17044,33230,2005
11044,Stabroek,8676,8757,17433,2005
11050,Wijnegem,4249,4587,8836,2005
11052,Wommelgem,5923,6123,12046,2005
11053,Wuustwezel,9096,9088,18184,2005
11054,Zandhoven,6149,6106,12255,2005
11055,Zoersel,10026,10400,20426,2005
11056,Zwijndrecht,8929,9175,18104,2005
11057,Malle,7089,7061,14150,2005
12000,Arrondissement de Malines,153113,158359,311472,2005
12002,Berlaar,5179,5259,10438,2005
12005,Bonheiden,6990,7397,14387,2005
12007,Bornem,9907,10032,19939,2005
12009,Duffel,7812,8179,15991,2005
12014,Heist-op-den-Berg,18909,19217,38126,2005
12021,Lierre,15998,16949,32947,2005
12025,Malines,37743,39737,77480,2005
12026,Nijlen,10301,10442,20743,2005
12029,Putte,7736,7738,15474,2005
12030,Puurs,7917,7986,15903,2005
12034,Sint-Amands,3854,3869,7723,2005
12035,Sint-Katelijne-Waver,9579,9853,19432,2005
12040,Willebroek,11188,11701,22889,2005
13000,Arrondissement de Turnhout,208854,207674,416528,2005
13001,Arendonk,6118,6061,12179,2005
13002,Baerle-Duc,1121,1155,2276,2005
13003,Balen,10070,10041,20111,2005
13004,Beerse,8117,8179,16296,2005
13006,Dessel,4399,4348,8747,2005
13008,Geel,17486,17272,34758,2005
13010,Grobbendonk,5371,5335,10706,2005
13011,Herentals,12793,13111,25904,2005
13012,Herenthout,4196,4219,8415,2005
13013,Herselt,7010,6722,13732,2005
13014,Hoogstraten,9426,9086,18512,2005
13016,Hulshout,4477,4628,9105,2005
13017,Kasterlee,9140,8759,17899,2005
13019,Lille,7744,7645,15389,2005
13021,Meerhout,4679,4638,9317,2005
13023,Merksplas,4207,3907,8114,2005
13025,Mol,16185,16291,32476,2005
13029,Olen,5604,5543,11147,2005
13031,Oud-Turnhout,6285,6282,12567,2005
13035,Ravels,6837,6694,13531,2005
13036,Retie,5229,4939,10168,2005
13037,Rijkevorsel,5352,5274,10626,2005
13040,Turnhout,19416,20145,39561,2005
13044,Vorselaar,3626,3656,7282,2005
13046,Vosselaar,5104,5054,10158,2005
13049,Westerlo,11432,11253,22685,2005
13053,Laakdal,7430,7437,14867,2005
20001,Province du Brabant flamand,508207,529579,1037786,2005
20002,Province du Brabant wallon,176732,187044,363776,2005
21000,Arrondissement de Bruxelles-Capitale,483586,523163,1006749,2005
21001,Anderlecht,45540,48268,93808,2005
21002,Auderghem,13710,15555,29265,2005
21003,Berchem-Sainte-Agathe,9422,10546,19968,2005
21004,Bruxelles,71233,71620,142853,2005
21005,Etterbeek,19316,21781,41097,2005
21006,Evere,15324,17745,33069,2005
21007,Forest (Bruxelles-Capitale),22531,25024,47555,2005
21008,Ganshoren,9256,11353,20609,2005
21009,Ixelles,37822,39907,77729,2005
21010,Jette,19638,22612,42250,2005
21011,Koekelberg,8556,9165,17721,2005
21012,Molenbeek-Saint-Jean,38478,40042,78520,2005
21013,Saint-Gilles,22100,21633,43733,2005
21014,Saint-Josse-ten-Noode,11837,11305,23142,2005
21015,Schaerbeek,54094,56281,110375,2005
21016,Uccle,34377,40599,74976,2005
21017,Watermael-Boitsfort,11198,13116,24314,2005
21018,Woluwe-Saint-Lambert,21615,26230,47845,2005
21019,Woluwe-Saint-Pierre,17539,20381,37920,2005
23000,Arrondissement de Hal-Vilvorde,278716,293981,572697,2005
23002,Asse,13978,14860,28838,2005
23003,Beersel,11390,11947,23337,2005
23009,Biévène,987,1027,2014,2005
23016,Dilbeek,18902,20386,39288,2005
23023,Gammerages,3929,4089,8018,2005
23024,Gooik,4405,4446,8851,2005
23025,Grimbergen,16068,17503,33571,2005
23027,Hal (Hal-Vilvorde),16915,17764,34679,2005
23032,Herne,3196,3235,6431,2005
23033,Hoeilaart,4903,5191,10094,2005
23038,Kampenhout,5362,5575,10937,2005
23039,Kapelle-op-den-Bos,4354,4518,8872,2005
23044,Liedekerke,5847,6085,11932,2005
23045,Londerzeel,8524,8816,17340,2005
23047,Machelen (Hal-Vilvorde),5965,6419,12384,2005
23050,Meise,9049,9460,18509,2005
23052,Merchtem,7296,7367,14663,2005
23060,Opwijk,5891,6188,12079,2005
23062,Overijse,11747,12337,24084,2005
23064,Pepingen,2156,2191,4347,2005
23077,Sint-Pieters-Leeuw,14965,15672,30637,2005
23081,Steenokkerzeel,5237,5406,10643,2005
23086,Ternat,7164,7433,14597,2005
23088,Vilvorde,17865,19091,36956,2005
23094,Zaventem,13842,14684,28526,2005
23096,Zemst,10403,10768,21171,2005
23097,Roosdaal,5260,5429,10689,2005
23098,Drogenbos,2205,2642,4847,2005
23099,Kraainem,6293,6701,12994,2005
23100,Linkebeek,2300,2458,4758,2005
23101,Rhode-Saint-Genèse,8734,9170,17904,2005
23102,Wemmel,6977,7668,14645,2005
23103,Wezembeek-Oppem,6456,7019,13475,2005
23104,Lennik,4322,4440,8762,2005
23105,Affligem,5829,5996,11825,2005
24000,Arrondissement de Louvain,229491,235598,465089,2005
24001,Aarschot,13642,14189,27831,2005
24007,Begijnendijk,4633,4671,9304,2005
24008,Bekkevoort,2924,2897,5821,2005
24009,Bertem,4449,4655,9104,2005
24011,Bierbeek,4570,4553,9123,2005
24014,Boortmeerbeek,5687,5755,11442,2005
24016,Boutersem,3766,3765,7531,2005
24020,Diest,11132,11419,22551,2005
24028,Geetbets,2876,2879,5755,2005
24033,Haacht,6606,6893,13499,2005
24038,Herent,9326,9763,19089,2005
24041,Hoegaarden,3014,3134,6148,2005
24043,Holsbeek,4514,4545,9059,2005
24045,Huldenberg,4481,4641,9122,2005
24048,Keerbergen,6114,6267,12381,2005
24054,Kortenaken,3747,3741,7488,2005
24055,Kortenberg,8952,9182,18134,2005
24059,Landen,7133,7436,14569,2005
24062,Louvain,44331,45579,89910,2005
24066,Lubbeek,6777,6808,13585,2005
24086,Oud-Heverlee,5382,5398,10780,2005
24094,Rotselaar,7449,7554,15003,2005
24104,Tervuren,10031,10544,20575,2005
24107,Tirlemont,15376,16370,31746,2005
24109,Tremelo,6820,6830,13650,2005
24130,Léau,3871,4020,7891,2005
24133,Linter,3505,3515,7020,2005
24134,Montaigu-Zichem,10862,11023,21885,2005
24135,Tielt-Winge,4942,4989,9931,2005
24137,Glabbeek,2579,2583,5162,2005
25000,Arrondissement de Nivelles,176732,187044,363776,2005
25005,Beauvechain,3232,3222,6454,2005
25014,Braine-l'Alleud,17745,19058,36803,2005
25015,Braine-le-Château,4618,4816,9434,2005
25018,Chaumont-Gistoux,5360,5465,10825,2005
25023,Court-Saint-Etienne,4571,4791,9362,2005
25031,Genappe,6897,7160,14057,2005
25037,Grez-Doiceau,6097,6279,12376,2005
25043,Incourt,2261,2233,4494,2005
25044,Ittre,2909,3057,5966,2005
25048,Jodoigne,5890,6303,12193,2005
25050,La Hulpe,3462,3744,7206,2005
25068,Mont-Saint-Guibert,3202,3171,6373,2005
25072,Nivelles,11488,12787,24275,2005
25084,Perwez (Nivelles),3594,3752,7346,2005
25091,Rixensart,10265,11203,21468,2005
25105,Tubize,10724,11322,22046,2005
25107,Villers-la-Ville,4669,4771,9440,2005
25110,Waterloo,13929,15301,29230,2005
25112,Wavre,15355,16668,32023,2005
25117,Chastre,3216,3385,6601,2005
25118,Hélécine,1493,1518,3011,2005
25119,Lasne,6850,7083,13933,2005
25120,Orp-Jauche,3786,3994,7780,2005
25121,Ottignies-Louvain-la-Neuve,14390,14906,29296,2005
25122,Ramillies,2863,2889,5752,2005
25123,Rebecq,4931,5168,10099,2005
25124,Walhain,2935,2998,5933,2005
30000,Province de Flandre occidentale,560587,577916,1138503,2005
31000,Arrondissement de Bruges,133865,139748,273613,2005
31003,Beernem,7487,7063,14550,2005
31004,Blankenberge,8629,9506,18135,2005
31005,Bruges,56754,60573,117327,2005
31006,Damme,5453,5422,10875,2005
31012,Jabbeke,6882,6775,13657,2005
31022,Oostkamp,10671,10872,21543,2005
31033,Torhout,9567,9614,19181,2005
31040,Zedelgem,10867,10896,21763,2005
31042,Zuienkerke,1413,1346,2759,2005
31043,Knokke-Heist,16142,17681,33823,2005
32000,Arrondissement de Dixmude,24051,24208,48259,2005
32003,Dixmude,7784,7852,15636,2005
32006,Houthulst,4455,4552,9007,2005
32010,Koekelare,4146,4108,8254,2005
32011,Kortemark,5993,6063,12056,2005
32030,Lo-Reninge,1673,1633,3306,2005
33000,Arrondissement d'Ypres,51726,52546,104272,2005
33011,Ypres,17070,17879,34949,2005
33016,Messines,494,482,976,2005
33021,Poperinge,9688,9824,19512,2005
33029,Wervik,8710,8899,17609,2005
33037,Zonnebeke,5806,5814,11620,2005
33039,Heuvelland,4225,4003,8228,2005
33040,Langemark-Poelkapelle,3905,3852,7757,2005
33041,Vleteren,1828,1793,3621,2005
34000,Arrondissement de Courtrai,136546,140644,277190,2005
34002,Anzegem,6924,6977,13901,2005
34003,Avelgem,4629,4743,9372,2005
34009,Deerlijk,5575,5731,11306,2005
34013,Harelbeke,12964,13081,26045,2005
34022,Courtrai,35897,37728,73625,2005
34023,Kuurne,6195,6321,12516,2005
34025,Lendelede,2719,2697,5416,2005
34027,Menin,15825,16500,32325,2005
34040,Waregem,17698,18221,35919,2005
34041,Wevelgem,15410,15649,31059,2005
34042,Zwevegem,11710,11956,23666,2005
34043,Espierres-Helchin,1000,1040,2040,2005
35000,Arrondissement d'Ostende,71503,74993,146496,2005
35002,Bredene,7435,7547,14982,2005
35005,Gistel,5522,5637,11159,2005
35006,Ichtegem,6699,6641,13340,2005
35011,Middelkerke,8706,8984,17690,2005
35013,Ostende,32967,35627,68594,2005
35014,Oudenburg,4408,4476,8884,2005
35029,De Haan,5766,6081,11847,2005
36000,Arrondissement de Roulers,70048,71494,141542,2005
36006,Hooglede,4980,4858,9838,2005
36007,Ingelmunster,5258,5360,10618,2005
36008,Izegem,13056,13494,26550,2005
36010,Ledegem,4585,4679,9264,2005
36011,Lichtervelde,4189,4165,8354,2005
36012,Moorslede,5282,5344,10626,2005
36015,Roulers,27252,28128,55380,2005
36019,Staden,5446,5466,10912,2005
37000,Arrondissement de Tielt,44215,44312,88527,2005
37002,Dentergem,4115,4013,8128,2005
37007,Meulebeke,5500,5471,10971,2005
37010,Oostrozebeke,3663,3782,7445,2005
37011,Pittem,3337,3275,6612,2005
37012,Ruiselede,2551,2546,5097,2005
37015,Tielt (Tielt),9496,9738,19234,2005
37017,Wielsbeke,4430,4410,8840,2005
37018,Wingene,6525,6507,13032,2005
37020,Ardooie,4598,4570,9168,2005
38000,Arrondissement de Furnes,28633,29971,58604,2005
38002,Alveringem,2510,2388,4898,2005
38008,La Panne,4779,5182,9961,2005
38014,Koksijde,10297,10736,21033,2005
38016,Nieuport,5319,5537,10856,2005
38025,Furnes,5728,6128,11856,2005
40000,Province de Flandre orientale,679039,701033,1380072,2005
41000,Arrondissement d'Alost,129563,134351,263914,2005
41002,Alost (Alost),37588,39419,77007,2005
41011,Denderleeuw,8436,8674,17110,2005
41018,Grammont,15322,15767,31089,2005
41024,Haaltert,8426,8696,17122,2005
41027,Herzele,8255,8326,16581,2005
41034,Lede,8339,8628,16967,2005
41048,Ninove,17404,17969,35373,2005
41063,Sint-Lievens-Houtem,4529,4733,9262,2005
41081,Zottegem,11826,12568,24394,2005
41082,Erpe-Mere,9438,9571,19009,2005
42000,Arrondissement de Termonde,92447,95336,187783,2005
42003,Berlare,6909,7075,13984,2005
42004,Buggenhout,6816,6932,13748,2005
42006,Termonde,21035,22046,43081,2005
42008,Hamme (Termonde),11481,11578,23059,2005
42010,Laarne,5742,5853,11595,2005
42011,Lebbeke,8625,8846,17471,2005
42023,Waasmunster,5150,5220,10370,2005
42025,Wetteren,11119,11935,23054,2005
42026,Wichelen,5427,5710,11137,2005
42028,Zele,10143,10141,20284,2005
43000,Arrondissement d'Eeklo,39703,39968,79671,2005
43002,Assenede,6710,6779,13489,2005
43005,Eeklo,9503,9850,19353,2005
43007,Kaprijke,3051,3018,6069,2005
43010,Maldegem,11063,11066,22129,2005
43014,Sint-Laureins,3279,3239,6518,2005
43018,Zelzate,6097,6016,12113,2005
44000,Arrondissement de Gand,248074,257193,505267,2005
44001,Aalter,9343,9353,18696,2005
44011,Deinze,13738,14343,28081,2005
44012,De Pinte,4935,5209,10144,2005
44013,Destelbergen,8415,8694,17109,2005
44019,Evergem,15690,16273,31963,2005
44020,Gavere,5887,6060,11947,2005
44021,Gand,112881,118070,230951,2005
44029,Knesselare,3964,3884,7848,2005
44034,Lochristi,9918,10006,19924,2005
44036,Lovendegem,4533,4733,9266,2005
44040,Melle,5115,5440,10555,2005
44043,Merelbeke,10779,11414,22193,2005
44045,Moerbeke (Gand),2897,2916,5813,2005
44048,Nazareth,5405,5510,10915,2005
44049,Nevele,5466,5590,11056,2005
44052,Oosterzele,6582,6655,13237,2005
44064,Sint-Martens-Latem,4039,4237,8276,2005
44072,Waarschoot,3915,3977,7892,2005
44073,Wachtebeke,3392,3460,6852,2005
44080,Zomergem,3939,4073,8012,2005
44081,Zulte,7241,7296,14537,2005
45000,Arrondissement d'Audenarde,56747,58632,115379,2005
45017,Kruishoutem,4109,3948,8057,2005
45035,Audenarde,13901,14398,28299,2005
45041,Renaix,11622,12372,23994,2005
45057,Zingem,3341,3391,6732,2005
45059,Brakel,6666,7008,13674,2005
45060,Kluisbergen,3007,3094,6101,2005
45061,Wortegem-Petegem,2955,2974,5929,2005
45062,Horebeke,966,1009,1975,2005
45063,Lierde,3185,3241,6426,2005
45064,Maarkedal,3132,3290,6422,2005
45065,Zwalm,3863,3907,7770,2005
46000,Arrondissement de Saint-Nicolas,112505,115553,228058,2005
46003,Beveren (Saint-Nicolas),22688,22905,45593,2005
46013,Kruibeke,7446,7559,15005,2005
46014,Lokeren,18478,19037,37515,2005
46020,Sint-Gillis-Waas,8824,8966,17790,2005
46021,Saint-Nicolas (Saint-Nicolas),33645,35437,69082,2005
46024,Stekene,8369,8454,16823,2005
46025,Tamise,13055,13195,26250,2005
50000,Province de Hainaut,620445,665830,1286275,2005
51000,Arrondissement d'Ath,39160,41407,80567,2005
51004,Ath,12884,13700,26584,2005
51008,Beloeil,6526,6793,13319,2005
51009,Bernissart,5514,5996,11510,2005
51012,Brugelette,1608,1663,3271,2005
51014,Chièvres,2991,3096,6087,2005
51017,Ellezelles,2733,2911,5644,2005
51019,Flobecq,1549,1690,3239,2005
51065,Frasnes-lez-Anvaing,5355,5558,10913,2005
52000,Arrondissement de Charleroi,203183,218211,421394,2005
52010,Chapelle-lez-Herlaimont,6586,7354,13940,2005
52011,Charleroi,97611,103762,201373,2005
52012,Châtelet,16863,18612,35475,2005
52015,Courcelles,14119,15343,29462,2005
52018,Farciennes,5322,5800,11122,2005
52021,Fleurus,10625,11639,22264,2005
52022,Fontaine-l'Evêque,8012,8767,16779,2005
52025,Gerpinnes,5811,6271,12082,2005
52043,Manage,10926,11312,22238,2005
52048,Montigny-le-Tilleul,4845,5315,10160,2005
52055,Pont-à-Celles,7814,8412,16226,2005
52063,Seneffe,5283,5492,10775,2005
52074,Aiseau-Presles,5119,5612,10731,2005
52075,Les Bons Villers,4247,4520,8767,2005
53000,Arrondissement de Mons,118749,130237,248986,2005
53014,Boussu,9479,10582,20061,2005
53020,Dour,8069,8735,16804,2005
53028,Frameries,9717,10883,20600,2005
53039,Hensies,3210,3433,6643,2005
53044,Jurbise,4479,5002,9481,2005
53046,Lens,1895,2013,3908,2005
53053,Mons,43497,47586,91083,2005
53065,Quaregnon,8892,9784,18676,2005
53068,Quiévrain,3119,3442,6561,2005
53070,Saint-Ghislain,10618,11785,22403,2005
53082,Colfontaine,9566,10480,20046,2005
53083,Honnelles,2443,2510,4953,2005
53084,Quévy,3765,4002,7767,2005
54000,Arrondissement de Mouscron,33788,36178,69966,2005
54007,Mouscron,25340,27194,52534,2005
54010,Comines-Warneton,8448,8984,17432,2005
55000,Arrondissement de Soignies,85679,91719,177398,2005
55004,Braine-le-Comte,9794,10218,20012,2005
55010,Enghien,5714,6000,11714,2005
55022,La Louvière,36972,39924,76896,2005
55023,Lessines,8527,9152,17679,2005
55035,Le Roeulx,3902,4116,8018,2005
55039,Silly,3940,4003,7943,2005
55040,Soignies,12001,13189,25190,2005
55050,Ecaussinnes,4829,5117,9946,2005
56000,Arrondissement de Thuin,71063,75564,146627,2005
56001,Anderlues,5547,6061,11608,2005
56005,Beaumont,3225,3449,6674,2005
56011,Binche,15476,16918,32394,2005
56016,Chimay,4741,4974,9715,2005
56022,Erquelinnes,4656,4931,9587,2005
56029,Froidchapelle,1827,1812,3639,2005
56044,Lobbes,2659,2819,5478,2005
56049,Merbes-le-Château,2013,2023,4036,2005
56051,Momignies,2525,2563,5088,2005
56078,Thuin,7163,7475,14638,2005
56085,Estinnes,3625,3788,7413,2005
56086,Ham-sur-Heure-Nalinnes,6515,6842,13357,2005
56087,Morlanwelz,8803,9590,18393,2005
56088,Sivry-Rance,2288,2319,4607,2005
57000,Arrondissement de Tournai,68823,72514,141337,2005
57003,Antoing,3691,3849,7540,2005
57018,Celles (Tournai),2685,2766,5451,2005
57027,Estaimpuis,4655,4924,9579,2005
