code_ins,lieu_de_residence,hommes,femmes,total,annee
01000,Belgique,4971780,5198446,10170226,1997
02000,Région flamande,2910715,2988109,5898824,1997
03000,Région wallonne,1609474,1711331,3320805,1997
04000,Région de Bruxelles-Capitale,451591,499006,950597,1997
10000,Province d'Anvers,806542,829098,1635640,1997
11000,Arrondissement d'Anvers,456338,476907,933245,1997
11001,Aartselaar,7120,7260,14380,1997
11002,Anvers,219197,233833,453030,1997
11004,Boechout,5874,5870,11744,1997
11005,Boom,7150,7572,14722,1997
11007,Borsbeek,4994,5256,10250,1997
11008,Brasschaat,18262,18803,37065,1997
11009,Brecht,12111,11974,24085,1997
11013,Edegem,11120,11555,22675,1997
11016,Essen,7924,7983,15907,1997
11018,Hemiksem,4533,4662,9195,1997
11021,Hove (Anvers),4019,4266,8285,1997
11022,Kalmthout,8483,8558,17041,1997
11023,Kapellen (Anvers),12486,13024,25510,1997
11024,Kontich,9688,9816,19504,1997
11025,Lint,3822,3886,7708,1997
11029,Mortsel,12264,13106,25370,1997
11030,Niel,4004,4205,8209,1997
11035,Ranst,8747,8596,17343,1997
11037,Rumst,7298,7300,14598,1997
11038,Schelle,3768,3841,7609,1997
11039,Schilde,9644,9854,19498,1997
11040,Schoten,15657,16442,32099,1997
11044,Stabroek,8386,8442,16828,1997
11050,Wijnegem,4111,4461,8572,1997
11052,Wommelgem,5663,5884,11547,1997
11053,Wuustwezel,8640,8475,17115,1997
11054,Zandhoven,5940,5823,11763,1997
11055,Zoersel,9784,10215,19999,1997
11056,Zwijndrecht,8876,9129,18005,1997
11057,Malle,6773,6816,13589,1997
12000,Arrondissement de Malines,148888,153473,302361,1997
12002,Berlaar,4873,5014,9887,1997
12005,Bonheiden,6585,6983,13568,1997
12007,Bornem,9802,9923,19725,1997
12009,Duffel,7590,8152,15742,1997
12014,Heist-op-den-Berg,18537,18459,36996,1997
12021,Lierre,15410,16295,31705,1997
12025,Malines,36653,38602,75255,1997
12026,Nijlen,10130,10035,20165,1997
12029,Putte,7548,7498,15046,1997
12030,Puurs,7722,7754,15476,1997
12034,Sint-Amands,3724,3697,7421,1997
12035,Sint-Katelijne-Waver,9332,9586,18918,1997
12040,Willebroek,10982,11475,22457,1997
13000,Arrondissement de Turnhout,201316,198718,400034,1997
13001,Arendonk,5848,5730,11578,1997
13002,Baerle-Duc,1058,1038,2096,1997
13003,Balen,9626,9396,19022,1997
13004,Beerse,7667,7557,15224,1997
