code_ins,lieu_de_residence,hommes,femmes,total,annee
01000,Belgique,5087176,5309245,10396421,2004
02000,Région flamande,2966640,3049384,6016024,2004
03000,Région wallonne,1640202,1740296,3380498,2004
04000,Région de Bruxelles-Capitale,480334,519565,999899,2004
10000,Province d'Anvers,823548,845264,1668812,2004
11000,Arrondissement d'Anvers,463462,481459,944921,2004
11001,Aartselaar,7019,7218,14237,2004
11002,Anvers,222395,232753,455148,2004
11004,Boechout,6022,5931,11953,2004
11005,Boom,7559,8008,15567,2004
11007,Borsbeek,4984,5320,10304,2004
11008,Brasschaat,18211,18954,37165,2004
11009,Brecht,12954,12954,25908,2004
11013,Edegem,10620,11292,21912,2004
11016,Essen,8405,8386,16791,2004
11018,Hemiksem,4648,4788,9436,2004
11021,Hove (Anvers),3975,4180,8155,2004
11022,Kalmthout,8544,8852,17396,2004
11023,Kapellen (Anvers),12737,13237,25974,2004
11024,Kontich,9967,10203,20170,2004
11025,Lint,3962,3997,7959,2004
11029,Mortsel,11716,12734,24450,2004
11030,Niel,4244,4393,8637,2004
11035,Ranst,8873,8835,17708,2004
11037,Rumst,7266,7322,14588,2004
11038,Schelle,3813,3933,7746,2004
11039,Schilde,9619,10033,19652,2004
11040,Schoten,16139,17051,33190,2004
11044,Stabroek,8618,8771,17389,2004
11050,Wijnegem,4187,4580,8767,2004
11052,Wommelgem,5891,6066,11957,2004
11053,Wuustwezel,9029,8977,18006,2004
11054,Zandhoven,6157,6103,12260,2004
11055,Zoersel,9984,10416,20400,2004
11056,Zwijndrecht,8871,9129,18000,2004
11057,Malle,7053,7043,14096,2004
12000,Arrondissement de Malines,152403,157462,309865,2004
12002,Berlaar,5140,5205,10345,2004
12005,Bonheiden,6957,7357,14314,2004
12007,Bornem,9872,10049,19921,2004
12009,Duffel,7797,8160,15957,2004
12014,Heist-op-den-Berg,18804,19064,37868,2004
12021,Lierre,15944,16877,32821,2004
12025,Malines,37465,39516,76981,2004
12026,Nijlen,10295,10347,20642,2004
12029,Putte,7783,7710,15493,2004
12030,Puurs,7914,7924,15838,2004
12034,Sint-Amands,3792,3819,7611,2004
12035,Sint-Katelijne-Waver,9475,9761,19236,2004
12040,Willebroek,11165,11673,22838,2004
13000,Arrondissement de Turnhout,207683,206343,414026,2004
13001,Arendonk,6088,6031,12119,2004
13002,Baerle-Duc,1119,1128,2247,2004
13003,Balen,9997,9874,19871,2004
13004,Beerse,8063,8122,16185,2004
13006,Dessel,4388,4330,8718,2004
13008,Geel,17335,17109,34444,2004
13010,Grobbendonk,5368,5322,10690,2004
13011,Herentals,12752,13117,25869,2004
13012,Herenthout,4163,4196,8359,2004
13013,Herselt,6962,6651,13613,2004
13014,Hoogstraten,9414,9031,18445,2004
13016,Hulshout,4434,4556,8990,2004
13017,Kasterlee,9047,8720,17767,2004
13019,Lille,7731,7594,15325,2004
13021,Meerhout,4651,4628,9279,2004
