code_ins,lieu_de_residence,hommes,femmes,total,annee
01000,Belgique,5537532,5730378,11267910,2016
02000,Région flamande,3200837,3276967,6477804,2016
03000,Région wallonne,1756900,1845316,3602216,2016
04000,Région de Bruxelles-Capitale,579795,608095,1187890,2016
10000,Province d'Anvers,903619,920517,1824136,2016
11000,Arrondissement d'Anvers,510916,522758,1033674,2016
11001,Aartselaar,7057,7205,14262,2016
11002,Anvers,257125,259917,517042,2016
11004,Boechout,6320,6524,12844,2016
11005,Boom,8794,8943,17737,2016
11007,Borsbeek,5104,5436,10540,2016
11008,Brasschaat,18142,19531,37673,2016
11009,Brecht,14170,14364,28534,2016
11013,Edegem,10369,11209,21578,2016
11016,Essen,9287,9328,18615,2016
11018,Hemiksem,5548,5600,11148,2016
11021,Hove (Anvers),3925,4216,8141,2016
11022,Kalmthout,8955,9381,18336,2016
11023,Kapellen (Anvers),13118,13627,26745,2016
11024,Kontich,10343,10530,20873,2016
11025,Lint,4383,4438,8821,2016
11029,Mortsel,12333,13218,25551,2016
11030,Niel,5041,5095,10136,2016
11035,Ranst,9486,9370,18856,2016
11037,Rumst,7550,7590,15140,2016
11038,Schelle,4026,4233,8259,2016
11039,Schilde,9402,10032,19434,2016
11040,Schoten,16542,17521,34063,2016
11044,Stabroek,9183,9332,18515,2016
11050,Wijnegem,4535,4830,9365,2016
11052,Wommelgem,6226,6365,12591,2016
11053,Wuustwezel,10135,10093,20228,2016
11054,Zandhoven,6396,6372,12768,2016
11055,Zoersel,10652,11112,21764,2016
11056,Zwijndrecht,9314,9643,18957,2016
11057,Malle,7455,7703,15158,2016
12000,Arrondissement de Malines,165749,171590,337339,2016
12002,Berlaar,5571,5632,11203,2016
12005,Bonheiden,7128,7576,14704,2016
12007,Bornem,10449,10590,21039,2016
12009,Duffel,8438,8854,17292,2016
12014,Heist-op-den-Berg,20753,21357,42110,2016
12021,Lierre,16980,17925,34905,2016
12025,Malines,41414,43109,84523,2016
12026,Nijlen,11197,11454,22651,2016
12029,Putte,8553,8674,17227,2016
12030,Puurs,8374,8625,16999,2016
12034,Sint-Amands,4150,4182,8332,2016
12035,Sint-Katelijne-Waver,10125,10484,20609,2016
12040,Willebroek,12617,13128,25745,2016
13000,Arrondissement de Turnhout,226954,226169,453123,2016
13001,Arendonk,6560,6582,13142,2016
13002,Baerle-Duc,1314,1349,2663,2016
13003,Balen,11027,11141,22168,2016
13004,Beerse,8818,9011,17829,2016
13006,Dessel,4725,4695,9420,2016
13008,Geel,19628,19597,39225,2016
13010,Grobbendonk,5630,5574,11204,2016
13011,Herentals,13632,14096,27728,2016
13012,Herenthout,4369,4437,8806,2016
13013,Herselt,7284,7207,14491,2016
13014,Hoogstraten,10857,10326,21183,2016
13016,Hulshout,5115,5140,10255,2016
13017,Kasterlee,9281,9050,18331,2016
13019,Lille,8336,8068,16404,2016
13021,Meerhout,5130,5032,10162,2016
13023,Merksplas,4495,4147,8642,2016
13025,Mol,17936,18098,36034,2016
13029,Olen,6155,6087,12242,2016
13031,Oud-Turnhout,6644,6663,13307,2016
13035,Ravels,7418,7317,14735,2016
13036,Retie,5584,5512,11096,2016
13037,Rijkevorsel,5941,5882,11823,2016
13040,Turnhout,21375,21590,42965,2016
13044,Vorselaar,3888,3889,7777,2016
13046,Vosselaar,5462,5473,10935,2016
13049,Westerlo,12430,12275,24705,2016
13053,Laakdal,7920,7931,15851,2016
20001,Province du Brabant flamand,549430,572263,1121693,2016
20002,Province du Brabant wallon,192374,204466,396840,2016
21000,Arrondissement de Bruxelles-Capitale,579795,608095,1187890,2016
21001,Anderlecht,58264,59148,117412,2016
21002,Auderghem,15740,17421,33161,2016
