code_ins,lieu_de_residence,hommes,femmes,total,annee
01000,Belgique,5006014,5233071,10239085,2000
02000,Région flamande,2929510,3010741,5940251,2000
03000,Région wallonne,1618652,1720864,3339516,2000
04000,Région de Bruxelles-Capitale,457852,501466,959318,2000
10000,Province d'Anvers,810339,833633,1643972,2000
11000,Arrondissement d'Anvers,455850,476253,932103,2000
11001,Aartselaar,7158,7280,14438,2000
11002,Anvers,216580,229945,446525,2000
11004,Boechout,5990,5929,11919,2000
11005,Boom,7309,7748,15057,2000
11007,Borsbeek,5044,5329,10373,2000
11008,Brasschaat,18190,18948,37138,2000
11009,Brecht,12584,12507,25091,2000
11013,Edegem,10807,11446,22253,2000
11016,Essen,8156,8251,16407,2000
11018,Hemiksem,4516,4635,9151,2000
11021,Hove (Anvers),4040,4266,8306,2000
11022,Kalmthout,8539,8721,17260,2000
11023,Kapellen (Anvers),12574,13097,25671,2000
11024,Kontich,9802,10072,19874,2000
11025,Lint,3883,3981,7864,2000
11029,Mortsel,12103,12983,25086,2000
11030,Niel,4132,4273,8405,2000
11035,Ranst,8830,8745,17575,2000
11037,Rumst,7273,7310,14583,2000
11038,Schelle,3825,3918,7743,2000
11039,Schilde,9650,9912,19562,2000
11040,Schoten,15944,16789,32733,2000
11044,Stabroek,8501,8642,17143,2000
11050,Wijnegem,4154,4506,8660,2000
11052,Wommelgem,5780,5982,11762,2000
11053,Wuustwezel,8840,8712,17552,2000
11054,Zandhoven,6071,6014,12085,2000
11055,Zoersel,9857,10307,20164,2000
11056,Zwijndrecht,8774,9027,17801,2000
11057,Malle,6944,6978,13922,2000
12000,Arrondissement de Malines,150399,155271,305670,2000
12002,Berlaar,5031,5119,10150,2000
12005,Bonheiden,6833,7256,14089,2000
12007,Bornem,9868,10071,19939,2000
12009,Duffel,7734,8237,15971,2000
12014,Heist-op-den-Berg,18532,18701,37233,2000
12021,Lierre,15671,16520,32191,2000
12025,Malines,36787,38651,75438,2000
12026,Nijlen,10193,10230,20423,2000
12029,Putte,7749,7645,15394,2000
12030,Puurs,7857,7879,15736,2000
12034,Sint-Amands,3797,3763,7560,2000
12035,Sint-Katelijne-Waver,9357,9681,19038,2000
12040,Willebroek,10990,11518,22508,2000
13000,Arrondissement de Turnhout,204090,202109,406199,2000
13001,Arendonk,5949,5856,11805,2000
13002,Baerle-Duc,1066,1054,2120,2000
13003,Balen,9760,9530,19290,2000
13004,Beerse,7841,7857,15698,2000
13006,Dessel,4345,4200,8545,2000
13008,Geel,16876,16801,33677,2000
13010,Grobbendonk,5285,5164,10449,2000
13011,Herentals,12576,12898,25474,2000
13012,Herenthout,4183,4119,8302,2000
13013,Herselt,6983,6649,13632,2000
13014,Hoogstraten,9074,8677,17751,2000
13016,Hulshout,4284,4342,8626,2000
13017,Kasterlee,8973,8581,17554,2000
13019,Lille,7613,7408,15021,2000
13021,Meerhout,4638,4554,9192,2000
13023,Merksplas,4143,3912,8055,2000
13025,Mol,15799,15884,31683,2000
13029,Olen,5468,5427,10895,2000
13031,Oud-Turnhout,6226,6187,12413,2000
13035,Ravels,6645,6454,13099,2000
13036,Retie,4963,4770,9733,2000
13037,Rijkevorsel,5297,5158,10455,2000
13040,Turnhout,18933,19663,38596,2000
13044,Vorselaar,3617,3736,7353,2000
13046,Vosselaar,5036,4979,10015,2000
13049,Westerlo,11068,10892,21960,2000
13053,Laakdal,7449,7357,14806,2000
20001,Province du Brabant flamand,497437,517267,1014704,2000
20002,Province du Brabant wallon,170332,179552,349884,2000
21000,Arrondissement de Bruxelles-Capitale,457852,501466,959318,2000
21001,Anderlecht,42094,45718,87812,2000
21002,Auderghem,13369,15435,28804,2000
21003,Berchem-Sainte-Agathe,8705,10030,18735,2000
21004,Bruxelles,66380,67479,133859,2000
21005,Etterbeek,18381,21023,39404,2000
21006,Evere,14533,16815,31348,2000
21007,Forest (Bruxelles-Capitale),21476,24079,45555,2000
21008,Ganshoren,8791,10966,19757,2000
21009,Ixelles,35476,37698,73174,2000
21010,Jette,18340,21409,39749,2000
21011,Koekelberg,7740,8471,16211,2000
21012,Molenbeek-Saint-Jean,34809,36410,71219,2000
21013,Saint-Gilles,21511,20947,42458,2000
21014,Saint-Josse-ten-Noode,11194,10903,22097,2000
21015,Schaerbeek,51704,53988,105692,2000
21016,Uccle,33764,40457,74221,2000
21017,Watermael-Boitsfort,11403,13370,24773,2000
21018,Woluwe-Saint-Lambert,20784,25744,46528,2000
21019,Woluwe-Saint-Pierre,17398,20524,37922,2000
23000,Arrondissement de Hal-Vilvorde,272003,286217,558220,2000
23002,Asse,13533,14398,27931,2000
23003,Beersel,11245,11635,22880,2000
23009,Biévène,965,1015,1980,2000
23016,Dilbeek,18207,19515,37722,2000
23023,Gammerages,3827,3914,7741,2000
23024,Gooik,4403,4431,8834,2000
23025,Grimbergen,15846,17084,32930,2000
23027,Hal (Hal-Vilvorde),16478,17177,33655,2000
23032,Herne,3142,3230,6372,2000
23033,Hoeilaart,4769,5014,9783,2000
23038,Kampenhout,5294,5438,10732,2000
23039,Kapelle-op-den-Bos,4354,4429,8783,2000
23044,Liedekerke,5832,5968,11800,2000
23045,Londerzeel,8500,8653,17153,2000
23047,Machelen (Hal-Vilvorde),5698,6140,11838,2000
23050,Meise,8919,9428,18347,2000
23052,Merchtem,7091,7159,14250,2000
23060,Opwijk,5745,5973,11718,2000
23062,Overijse,11573,12165,23738,2000
23064,Pepingen,2114,2133,4247,2000
23077,Sint-Pieters-Leeuw,14594,15419,30013,2000
23081,Steenokkerzeel,5130,5289,10419,2000
23086,Ternat,7100,7318,14418,2000
23088,Vilvorde,16875,18107,34982,2000
23094,Zaventem,13042,13859,26901,2000
23096,Zemst,10069,10484,20553,2000
23097,Roosdaal,5191,5382,10573,2000
23098,Drogenbos,2187,2506,4693,2000
23099,Kraainem,6147,6545,12692,2000
23100,Linkebeek,2314,2437,4751,2000
23101,Rhode-Saint-Genèse,8745,9253,17998,2000
23102,Wemmel,6619,7313,13932,2000
23103,Wezembeek-Oppem,6514,7108,13622,2000
23104,Lennik,4218,4370,8588,2000
23105,Affligem,5723,5928,11651,2000
24000,Arrondissement de Louvain,225434,231050,456484,2000
