code_ins,lieu_de_residence,hommes,femmes,total,annee
01000,Belgique,5181408,5403126,10584534,2007
02000,Région flamande,3017063,3100377,6117440,2007
03000,Région wallonne,1667557,1768322,3435879,2007
04000,Région de Bruxelles-Capitale,496788,534427,1031215,2007
10000,Province d'Anvers,840018,860552,1700570,2007
11000,Arrondissement d'Anvers,472348,488783,961131,2007
11001,Aartselaar,7100,7225,14325,2007
11002,Anvers,228899,237304,466203,2007
11004,Boechout,6070,6079,12149,2007
11005,Boom,7988,8338,16326,2007
11007,Borsbeek,4919,5305,10224,2007
11008,Brasschaat,18077,19056,37133,2007
11009,Brecht,13339,13391,26730,2007
11013,Edegem,10423,11193,21616,2007
11016,Essen,8563,8580,17143,2007
11018,Hemiksem,4820,4935,9755,2007
11021,Hove (Anvers),4056,4242,8298,2007
11022,Kalmthout,8588,8916,17504,2007
11023,Kapellen (Anvers),12767,13337,26104,2007
11024,Kontich,9988,10255,20243,2007
11025,Lint,4005,4030,8035,2007
11029,Mortsel,11763,12663,24426,2007
11030,Niel,4366,4556,8922,2007
11035,Ranst,9026,8922,17948,2007
11037,Rumst,7282,7368,14650,2007
11038,Schelle,3884,4030,7914,2007
11039,Schilde,9563,9974,19537,2007
11040,Schoten,16060,17072,33132,2007
11044,Stabroek,8757,8870,17627,2007
11050,Wijnegem,4298,4592,8890,2007
11052,Wommelgem,5939,6178,12117,2007
11053,Wuustwezel,9308,9297,18605,2007
11054,Zandhoven,6175,6087,12262,2007
11055,Zoersel,10231,10572,20803,2007
11056,Zwijndrecht,9019,9333,18352,2007
11057,Malle,7075,7083,14158,2007
12000,Arrondissement de Malines,155442,160782,316224,2007
12002,Berlaar,5278,5390,10668,2007
12005,Bonheiden,7043,7456,14499,2007
12007,Bornem,10017,10218,20235,2007
12009,Duffel,7832,8308,16140,2007
12014,Heist-op-den-Berg,19212,19509,38721,2007
12021,Lierre,16154,17105,33259,2007
12025,Malines,38582,40318,78900,2007
12026,Nijlen,10394,10584,20978,2007
12029,Putte,7916,7897,15813,2007
12030,Puurs,8084,8166,16250,2007
12034,Sint-Amands,3874,3945,7819,2007
12035,Sint-Katelijne-Waver,9669,9973,19642,2007
12040,Willebroek,11387,11913,23300,2007
13000,Arrondissement de Turnhout,212228,210987,423215,2007
13001,Arendonk,6182,6147,12329,2007
13002,Baerle-Duc,1166,1171,2337,2007
13003,Balen,10243,10136,20379,2007
13004,Beerse,8247,8353,16600,2007
13006,Dessel,4459,4406,8865,2007
13008,Geel,17895,17607,35502,2007
13010,Grobbendonk,5429,5372,10801,2007
13011,Herentals,12909,13243,26152,2007
13012,Herenthout,4215,4247,8462,2007
13013,Herselt,7081,6848,13929,2007
13014,Hoogstraten,9604,9301,18905,2007
13016,Hulshout,4632,4739,9371,2007
13017,Kasterlee,9149,8839,17988,2007
13019,Lille,7895,7733,15628,2007
13021,Meerhout,4751,4712,9463,2007
13023,Merksplas,4281,3989,8270,2007
13025,Mol,16451,16609,33060,2007
13029,Olen,5744,5723,11467,2007
13031,Oud-Turnhout,6311,6322,12633,2007
13035,Ravels,7075,6945,14020,2007
13036,Retie,5369,5116,10485,2007
13037,Rijkevorsel,5471,5376,10847,2007
13040,Turnhout,19614,20249,39863,2007
13044,Vorselaar,3700,3719,7419,2007
13046,Vosselaar,5127,5085,10212,2007
13049,Westerlo,11734,11496,23230,2007
13053,Laakdal,7494,7504,14998,2007
20001,Province du Brabant flamand,515388,537079,1052467,2007
20002,Province du Brabant wallon,179768,190692,370460,2007
21000,Arrondissement de Bruxelles-Capitale,496788,534427,1031215,2007
21001,Anderlecht,47451,50150,97601,2007
21002,Auderghem,13912,15769,29681,2007
21003,Berchem-Sainte-Agathe,9707,10724,20431,2007
21004,Bruxelles,73147,72770,145917,2007
21005,Etterbeek,20042,22300,42342,2007
21006,Evere,15888,18240,34128,2007
21007,Forest (Bruxelles-Capitale),22894,25390,48284,2007
21008,Ganshoren,9697,11698,21395,2007
21009,Ixelles,37990,40098,78088,2007
21010,Jette,20276,23288,43564,2007
21011,Koekelberg,9026,9515,18541,2007
21012,Molenbeek-Saint-Jean,40098,41534,81632,2007
21013,Saint-Gilles,22569,22198,44767,2007
21014,Saint-Josse-ten-Noode,12246,11539,23785,2007
21015,Schaerbeek,55784,57709,113493,2007
21016,Uccle,35182,41394,76576,2007
21017,Watermael-Boitsfort,11141,12980,24121,2007
21018,Woluwe-Saint-Lambert,21878,26437,48315,2007
21019,Woluwe-Saint-Pierre,17860,20694,38554,2007
23000,Arrondissement de Hal-Vilvorde,282445,297962,580407,2007
23002,Asse,14177,15157,29334,2007
23003,Beersel,11534,12044,23578,2007
23009,Biévène,1003,1045,2048,2007
23016,Dilbeek,19080,20505,39585,2007
23023,Gammerages,4005,4153,8158,2007
23024,Gooik,4430,4449,8879,2007
23025,Grimbergen,16402,17918,34320,2007
23027,Hal (Hal-Vilvorde),17090,18018,35108,2007
23032,Herne,3222,3261,6483,2007
23033,Hoeilaart,4879,5161,10040,2007
23038,Kampenhout,5440,5620,11060,2007
23039,Kapelle-op-den-Bos,4349,4567,8916,2007
23044,Liedekerke,5943,6176,12119,2007
23045,Londerzeel,8630,8822,17452,2007
23047,Machelen (Hal-Vilvorde),6193,6599,12792,2007
23050,Meise,9046,9499,18545,2007
23052,Merchtem,7480,7573,15053,2007
23060,Opwijk,6040,6353,12393,2007
23062,Overijse,11793,12371,24164,2007
23064,Pepingen,2125,2232,4357,2007
23077,Sint-Pieters-Leeuw,15072,15857,30929,2007
23081,Steenokkerzeel,5427,5561,10988,2007
23086,Ternat,7269,7496,14765,2007
23088,Vilvorde,18325,19639,37964,2007
23094,Zaventem,14106,14928,29034,2007
23096,Zemst,10552,11001,21553,2007
23097,Roosdaal,5312,5476,10788,2007
23098,Drogenbos,2208,2614,4822,2007
23099,Kraainem,6294,6811,13105,2007
23100,Linkebeek,2283,2427,4710,2007
23101,Rhode-Saint-Genèse,8761,9214,17975,2007
23102,Wemmel,7209,7787,14996,2007
23103,Wezembeek-Oppem,6460,7036,13496,2007
23104,Lennik,4284,4445,8729,2007
23105,Affligem,6022,6147,12169,2007
24000,Arrondissement de Louvain,232943,239117,472060,2007
24001,Aarschot,13736,14285,28021,2007
24007,Begijnendijk,4694,4774,9468,2007
24008,Bekkevoort,2974,2952,5926,2007
24009,Bertem,4537,4759,9296,2007
24011,Bierbeek,4624,4609,9233,2007
24014,Boortmeerbeek,5739,5822,11561,2007
24016,Boutersem,3761,3758,7519,2007
24020,Diest,11241,11604,22845,2007
24028,Geetbets,2903,2883,5786,2007
24033,Haacht,6729,7000,13729,2007
24038,Herent,9499,9896,19395,2007
24041,Hoegaarden,3045,3181,6226,2007
24043,Holsbeek,4696,4699,9395,2007
24045,Huldenberg,4540,4721,9261,2007
24048,Keerbergen,6214,6366,12580,2007
24054,Kortenaken,3824,3754,7578,2007
24055,Kortenberg,9096,9328,18424,2007
24059,Landen,7281,7595,14876,2007
24062,Louvain,45396,46546,91942,2007
24066,Lubbeek,6832,6908,13740,2007
24086,Oud-Heverlee,5415,5446,10861,2007
24094,Rotselaar,7568,7587,15155,2007
24104,Tervuren,10098,10718,20816,2007
24107,Tirlemont,15525,16558,32083,2007
24109,Tremelo,6905,6999,13904,2007
24130,Léau,3912,4071,7983,2007
24133,Linter,3506,3532,7038,2007
24134,Montaigu-Zichem,11011,11089,22100,2007
24135,Tielt-Winge,5031,5072,10103,2007
24137,Glabbeek,2611,2605,5216,2007
